# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:05:32 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeA_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygA_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4067.6845
# Sky Y      :        4029.3591
# X Centroid :       2641.62
# Y Centroid :       2734.39
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
        Radius1      Radius2   SB              SBError         BGRD            BGRDError           AREA    
        0.000        0.492     5.47929E-05     4.82556E-07     1.48375E-08     7.94082E-09     9.68256E-01
        0.492        0.984     5.27471E-05     3.13472E-07     1.55222E-08     5.37744E-09     2.17858E+00
        0.984        1.476     2.97935E-05     1.71744E-07     1.25874E-08     3.53011E-09     4.11509E+00
        1.476        1.968     9.64469E-06     8.55322E-08     1.44762E-08     3.31369E-09     5.32541E+00
        1.968        2.460     5.83648E-06     5.79148E-08     1.19285E-08     2.61823E-09     7.01986E+00
        2.460        3.444     3.98676E-06     3.01725E-08     1.11852E-08     1.59817E-09     1.76707E+01
        3.444        4.428     2.60114E-06     2.11377E-08     1.05467E-08     1.34596E-09     2.34802E+01
        4.428        5.412     2.11827E-06     1.96321E-08     1.09294E-08     1.41018E-09     2.22699E+01
        5.412        6.396     1.90876E-06     1.71378E-08     1.08739E-08     1.29351E-09     2.63850E+01
        6.396        7.380     1.86241E-06     1.57066E-08     9.90038E-09     1.14517E-09     3.05001E+01
        7.380        8.364     1.78311E-06     1.40972E-08     9.71853E-09     1.04074E-09     3.63096E+01
        8.364        9.348     1.76786E-06     1.33409E-08     9.24636E-09     9.64822E-10     4.01826E+01
        9.348       10.332     1.78113E-06     1.28255E-08     9.24860E-09     9.24197E-10     4.40556E+01
       10.332       10.824     1.76043E-06     1.69957E-08     9.35337E-09     1.23884E-09     2.46905E+01
       10.824       11.316     1.75040E-06     1.69878E-08     8.99235E-09     1.21760E-09     2.46905E+01
       11.316       11.808     1.71965E-06     1.62470E-08     9.12626E-09     1.18359E-09     2.63850E+01
       11.808       12.300     1.68636E-06     1.57056E-08     8.63709E-09     1.12399E-09     2.78374E+01
       12.300       12.792     1.69559E-06     1.58932E-08     9.05929E-09     1.16171E-09     2.73532E+01
       12.792       13.284     1.69514E-06     1.49179E-08     8.85413E-09     1.07815E-09     3.07421E+01
       13.284       13.776     1.65262E-06     1.47174E-08     8.98697E-09     1.08531E-09     3.09842E+01
       13.776       14.268     1.62891E-06     1.44056E-08     8.36878E-09     1.03255E-09     3.17104E+01
       14.268       14.760     1.66329E-06     1.40549E-08     8.35728E-09     9.96265E-10     3.41310E+01
       14.760       15.252     1.63066E-06     1.40272E-08     8.86393E-09     1.03420E-09     3.34048E+01
       15.252       15.744     1.59454E-06     1.34313E-08     8.58789E-09     9.85698E-10     3.55834E+01
       15.744       16.236     1.56314E-06     1.32694E-08     8.46113E-09     9.76261E-10     3.58255E+01
       16.236       16.728     1.57197E-06     1.28470E-08     8.45719E-09     9.42312E-10     3.82461E+01
       16.728       17.220     1.53188E-06     1.24166E-08     8.03817E-09     8.99434E-10     3.99406E+01
       17.220       17.712     1.49341E-06     1.23490E-08     7.95820E-09     9.01465E-10     3.92144E+01
       17.712       18.204     1.48718E-06     1.18921E-08     8.16341E-09     8.81076E-10     4.21191E+01
       18.204       18.696     1.49397E-06     1.20998E-08     7.88026E-09     8.78775E-10     4.09088E+01
       18.696       19.188     1.44301E-06     1.14273E-08     8.36635E-09     8.70115E-10     4.40556E+01
       19.188       19.680     1.44883E-06     1.14088E-08     8.17108E-09     8.56784E-10     4.45398E+01
       19.680       20.172     1.41578E-06     1.12406E-08     8.09134E-09     8.49770E-10     4.47818E+01
       20.172       20.664     1.41489E-06     1.07881E-08     7.74871E-09     7.98361E-10     4.86549E+01
       20.664       21.156     1.39298E-06     1.08780E-08     7.86719E-09     8.17497E-10     4.72025E+01
       21.156       21.648     1.34908E-06     1.05403E-08     8.07339E-09     8.15385E-10     4.86549E+01
       21.648       22.140     1.36663E-06     1.04494E-08     7.56936E-09     7.77668E-10     5.03493E+01
       22.140       22.632     1.31231E-06     1.02005E-08     7.44073E-09     7.68092E-10     5.05914E+01
       22.632       23.124     1.31503E-06     9.90117E-09     8.21675E-09     7.82652E-10     5.39803E+01
       23.124       23.616     1.22741E-06     9.66195E-09     7.58143E-09     7.59356E-10     5.27700E+01
       23.616       24.108     1.23513E-06     9.40300E-09     7.30622E-09     7.23198E-10     5.61588E+01
       24.108       24.600     1.19472E-06     9.35604E-09     7.30402E-09     7.31544E-10     5.49485E+01
       24.600       25.092     1.15166E-06     8.98445E-09     7.08722E-09     7.04803E-10     5.73692E+01
