Bin |     Volume (cm^3) | Temperature (kT) |  fkT (kT) |         n (cm^-3) |        fn (cm^-3) |     P (erg cm^-3) |    fP (erg cm^-3) |             Yparm 
  0 | 5.77914175167e+64 |             64.0 |   90.5097 |    0.620637124635 |    0.738066078941 | 6.36397136919e-08 | 1.17590856327e-07 | 0.000254848060531 
  1 |  1.9290453649e+65 |             64.0 |   90.5097 |    0.517020250752 |    0.614844164774 | 5.30149090745e-08 | 9.79587781043e-08 | 0.000326453118091 
  2 | 4.92325911281e+65 |             64.0 |   90.5097 |    0.410493099228 |    0.488161309483 | 4.20916865435e-08 | 7.77752942777e-08 | 0.000316692885819 
  3 | 7.43520750731e+65 |             2.47 |   0.59397 |    0.182336690118 |   0.0948455026584 | 7.21575066732e-10 | 4.13507904622e-10 | 6.59256863337e-06 
  4 | 1.09123613116e+66 |             1.95 |   0.19799 |    0.147031312413 |   0.0685388788218 | 4.59361875939e-10 | 2.19152834279e-10 | 4.77003494988e-06 
  5 | 3.60025543752e+66 |             3.08 |  0.127279 |    0.157344993738 |   0.0216062693359 | 7.76451133266e-10 | 1.11343980513e-10 | 8.51872455207e-06 
  6 |  5.8415748807e+66 |             3.15 |  0.127279 |    0.124754060428 |   0.0169621722442 | 6.29615990826e-10 | 8.93058839722e-11 | 8.79874154144e-06 
  7 | 6.02519578063e+66 |           4.8812 |  0.187242 |    0.114291610931 |   0.0212879622781 | 8.93822813365e-10 | 1.69977475197e-10 | 1.38080441309e-05 
  8 | 7.69175950402e+66 |           4.6877 |  0.182716 |    0.107931290914 |   0.0190128530181 | 8.10620636466e-10 | 1.46250346289e-10 | 1.25014640738e-05 
  9 | 9.40672723409e+66 |           4.4897 |  0.165463 |    0.102355787836 |   0.0179491173773 | 7.36275256228e-10 | 1.31933792135e-10 | 1.20727016554e-05 
 10 | 1.25937157319e+67 |           4.3947 | 0.0977222 |   0.0950564074545 |   0.0156298341771 | 6.69300467359e-10 | 1.11052810448e-10 | 1.29305253234e-05 
 11 | 1.45563168013e+67 |           4.3666 |   0.11837 |   0.0930263298114 |   0.0146381527866 | 6.50818356761e-10 |  1.0391802412e-10 | 1.22495034001e-05 
 12 | 1.67767754792e+67 |           4.1573 | 0.0956008 |    0.091110979185 |   0.0142587471367 | 6.06865671999e-10 | 9.59934993075e-11 | 1.21808363757e-05 
 13 | 8.57393089669e+66 |           3.9192 |  0.124875 |   0.0928824656685 |   0.0174848963497 | 5.83232409052e-10 | 1.11353640146e-10 |  1.2239000555e-05 
 14 | 8.59825772234e+66 |           4.0378 |  0.127562 |   0.0932785056471 |   0.0169716343517 | 6.03443840706e-10 | 1.11436872761e-10 | 1.27483728739e-05 
 15 | 9.33644920357e+66 |           4.0878 |  0.122047 |   0.0889658702347 |   0.0166002568914 | 5.82671218438e-10 | 1.10104373327e-10 | 1.25509206296e-05 
 16 | 1.03416719139e+67 |            4.084 |  0.121764 |   0.0859070345403 |   0.0158204373577 | 5.62114729831e-10 | 1.04865607664e-10 | 1.28756974535e-05 
 17 | 1.01020577732e+67 |           4.1132 |  0.123037 |   0.0861790916804 |   0.0157375752326 | 5.67926654949e-10 | 1.05093933392e-10 | 1.28911239925e-05 
 18 | 1.17102256993e+67 |           3.9821 |  0.114976 |    0.085199146105 |   0.0150120948657 |  5.4357302698e-10 | 9.70549870197e-11 | 1.18467420913e-05 
