 Bin |     Volume (cm^3) | Temperature (kT) |  fkT (kT) |         n (cm^-3) |        fn (cm^-3) |     P (erg cm^-3) |    fP (erg cm^-3) |             Yparm 
   0 | 2.40713266677e+65 |          79.7349 |   112.762 |    0.287666235488 |    0.137513334732 | 3.67491962232e-08 | 5.48599581425e-08 | 0.000504767347682 
   1 | 6.68344316536e+65 |          79.7945 |   112.846 |    0.258856261677 |    0.174004126605 | 3.30934570935e-08 | 5.18190883058e-08 | 0.000472994157842 
   2 | 1.53126011009e+66 |           1.8159 |  0.180595 |    0.215632448758 |   0.0623632839767 | 6.27359572195e-10 | 1.91867177982e-10 |   9.338463724e-06 
   3 | 2.31612348663e+66 |           1.9408 |  0.176777 |    0.168213620235 |   0.0495472768113 | 5.23061100587e-10 | 1.61265702374e-10 | 8.05401997201e-06 
   4 | 3.18065272473e+66 |           2.5837 |  0.173241 |    0.177425393051 |   0.0457889286477 | 7.34460331504e-10 | 1.95838366854e-10 |   1.167382261e-05 
   5 | 9.88535398325e+66 |             3.03 |  0.236174 |    0.085716957902 |   0.0224044489856 | 4.16121223606e-10 | 1.13497719747e-10 | 7.03610535268e-06 
   6 |  1.4852589159e+67 |           3.5389 |   0.26064 |    0.074339025147 |   0.0164266336694 | 4.21498111288e-10 |  9.8175303838e-11 | 7.50287771621e-06 
   7 | 1.35358360461e+67 |           3.5147 |   0.19898 |   0.0859350258058 |   0.0166294784624 | 4.83914859509e-10 | 9.75686648675e-11 | 9.02572498356e-06 
   8 |  1.7644455241e+67 |           3.8677 |  0.194454 |   0.0857249310171 |   0.0160483203179 | 5.31215121292e-10 | 1.02971147396e-10 | 1.03717553484e-05 
   9 | 2.15132215321e+67 |           4.1297 |  0.181726 |   0.0787812292011 |   0.0138752403402 | 5.21256842147e-10 | 9.46278169811e-11 | 1.05822910175e-05 
  10 | 2.77917719843e+67 |           3.8597 |  0.175928 |   0.0755012338926 |   0.0127092873267 | 4.66893779806e-10 |  8.1423559187e-11 | 9.82860752434e-06 
  11 | 3.22894671223e+67 |           3.9987 |   0.15924 |   0.0742592669218 |   0.0121427286925 | 4.75751277077e-10 | 8.00677107596e-11 | 1.03852463819e-05 
  12 | 3.73433508452e+67 |           4.2936 |  0.112289 |   0.0617977865599 |  0.00975605960193 |   4.251136046e-10 | 6.80276246733e-11 | 9.57635603197e-06 
  13 | 2.05513820723e+67 |           4.0075 |  0.145381 |   0.0605880385612 |   0.0115295597024 | 3.89019109809e-10 | 7.53613147721e-11 | 8.89597680311e-06 
  14 | 2.10919243229e+67 |           4.1752 |  0.150472 |   0.0602898726379 |   0.0110481449657 | 4.03303639976e-10 | 7.53212803246e-11 |  9.3582797696e-06 
  15 | 2.26989787841e+67 |           4.2112 |  0.142977 |   0.0577459341472 |   0.0108641127398 |  3.8961690872e-10 | 7.44851543797e-11 | 9.16994451499e-06 
  16 | 2.45643254969e+67 |           4.1994 |  0.141846 |   0.0562417708637 |   0.0104691568154 | 3.78404870974e-10 | 7.15886622954e-11 | 9.02991850717e-06 
  17 |  2.4993657997e+67 |           4.2323 |  0.143684 |   0.0553242808642 |   0.0102090042568 | 3.75148051203e-10 | 7.03879938721e-11 |  9.0733945556e-06 
  18 | 2.79596803128e+67 |           4.1016 |  0.134633 |   0.0558618418267 |  0.00991483961171 | 3.67095504545e-10 | 6.62601288121e-11 | 9.01251298323e-06 
  19 | 2.96707553499e+67 |           4.1044 |  0.140573 |   0.0541144237372 |   0.0094316411202 | 3.55855126415e-10 | 6.32083902077e-11 | 8.84803410791e-06 
  20 | 3.02506167694e+67 |           4.2736 |  0.133502 |   0.0516806983042 |  0.00939611049633 | 3.53861037989e-10 | 6.52785229664e-11 | 8.90799532189e-06 
  21 | 3.37023469592e+67 |           4.2643 |  0.129401 |   0.0519402193377 |  0.00895055533879 | 3.54864053709e-10 | 6.20925346029e-11 | 9.04182279769e-06 
  22 | 3.29769731904e+67 |           4.2574 |  0.133926 |   0.0520430209797 |  0.00904254339794 | 3.54991088464e-10 | 6.26829001156e-11 | 9.15244200201e-06 
  23 | 3.52043584939e+67 |           4.2453 |  0.136189 |   0.0519728383259 |  0.00862404579264 | 3.53504783474e-10 | 5.97445202872e-11 | 9.21986457147e-06 
  24 | 3.66687881043e+67 |           4.4295 |  0.131946 |   0.0492271129647 |  0.00847202277874 | 3.49357101235e-10 | 6.10185890555e-11 | 9.21505032682e-06 
  25 | 3.97266961004e+67 |           4.2098 |  0.128128 |   0.0496430681578 |  0.00832889584601 | 3.34834768305e-10 | 5.70939714314e-11 | 8.92999989707e-06 
  26 | 4.22783094719e+67 |           4.5681 |  0.129542 |   0.0480340058185 |  0.00786336944044 | 3.51556311646e-10 | 5.84083542841e-11 | 9.47778547696e-06 
  27 | 4.08867633969e+67 |           4.5984 |  0.131239 |   0.0477750944748 |  0.00797611547331 |  3.5198066291e-10 |  5.9616096623e-11 | 9.59012569941e-06 
  28 | 4.53666419732e+67 |           4.4982 |  0.127421 |   0.0470418871478 |  0.00770940591116 | 3.39026763795e-10 | 5.63848895501e-11 | 9.34632490391e-06 
  29 | 4.53522016823e+67 |           4.4947 |  0.131805 |   0.0466368061589 |  0.00752147093808 | 3.35845860236e-10 | 5.50524824039e-11 | 9.35261223989e-06 
  30 | 4.85223650788e+67 |            4.951 |  0.187666 |   0.0452746131361 |  0.00723831564456 |   3.591353755e-10 | 5.90087308493e-11 | 1.01007135106e-05 
  31 | 5.07092443143e+67 |           4.6534 | 0.0975807 |   0.0453917444219 |  0.00707372572541 | 3.38421344417e-10 | 5.32139853109e-11 | 9.61104527847e-06 
