# 
# Extracted radial surface brightness profile
#  
# SB [counts/s/cm^2/arcsec^2] vs. R [arcsec]
#  
# Date       : Tue Aug 16 15:32:58 2016
# Input file : cygnus_tot_img.fits
# Exp. file  : cygnus_tot_filt_wedgeB_emap.fits
# Bgd. file  : cygnus_tot_all_bmap.fits
# Binmap file: cygB_sn100_radial_binmap.fits
# Exp. time  :            1
# Sky X      :        4972.7946
# Sky Y      :        5142.6189
# X Centroid :       3546.73
# Y Centroid :       3847.65
# Min. counts:        10000
# Pixel scale:       0.49200000
#  
    Radius1     Radius2         SB            SBError            BGRD           BGRDError            AREA    
        0.000       57.072     2.17042E-08     2.00741E-10     2.97447E-09     7.43137E-11     7.90436E+03
       57.072       84.624     1.97697E-08     1.81122E-10     2.92749E-09     6.96977E-11     9.08902E+03
       84.624      105.780     1.78049E-08     1.61990E-10     2.87587E-09     6.51033E-11     9.77527E+03
      105.780      123.984     1.64013E-08     1.47305E-10     2.87790E-09     6.17046E-11     1.03284E+04
      123.984      140.712     1.51477E-08     1.35855E-10     2.94947E-09     5.99481E-11     1.07392E+04
      140.712      156.948     1.41254E-08     1.24396E-10     2.85179E-09     5.58939E-11     1.16329E+04
      156.948      172.200     1.34726E-08     1.19725E-10     2.79388E-09     5.45207E-11     1.19991E+04
      172.200      187.452     1.28293E-08     1.12197E-10     2.86259E-09     5.29981E-11     1.32014E+04
      187.452      202.704     1.22532E-08     1.07343E-10     2.80422E-09     5.13521E-11     1.40891E+04
      202.704      217.956     1.18060E-08     1.02034E-10     2.84724E-09     5.01078E-11     1.54781E+04
      217.956      233.700     1.14652E-08     9.82122E-11     2.91964E-09     4.95609E-11     1.67942E+04
      233.700      250.920     1.08889E-08     9.29928E-11     2.94524E-09     4.83635E-11     1.91153E+04
      250.920      267.156     1.03732E-08     8.76447E-11     2.87985E-09     4.61800E-11     1.96633E+04
      267.156      283.392     1.00847E-08     8.48139E-11     2.80122E-09     4.47002E-11     2.04036E+04
      283.392      299.628     9.76510E-09     8.18778E-11     2.86279E-09     4.43325E-11     2.18923E+04
      299.628      315.864     9.23073E-09     7.63053E-11     2.85172E-09     4.24121E-11     2.35431E+04
      315.864      332.100     8.91807E-09     7.35275E-11     2.79011E-09     4.11268E-11     2.47472E+04
      332.100      348.828     8.56734E-09     7.02100E-11     2.79362E-09     4.00922E-11     2.64162E+04
      348.828      366.048     8.18503E-09     6.59290E-11     2.75258E-09     3.82329E-11     2.90569E+04
      366.048      383.268     7.86753E-09     6.29261E-11     2.78963E-09     3.74701E-11     3.04761E+04
      383.268      400.488     7.63072E-09     6.07721E-11     2.78519E-09     3.67155E-11     3.27837E+04
      400.488      419.184     7.41747E-09     5.80341E-11     2.78816E-09     3.55807E-11     3.55292E+04
      419.184      437.880     7.14754E-09     5.57619E-11     2.76739E-09     3.46972E-11     3.73512E+04
      437.880      459.036     6.77490E-09     5.11783E-11     2.81431E-09     3.29853E-11     4.43442E+04
      459.036      480.192     6.49496E-09     4.91142E-11     2.75788E-09     3.20041E-11     4.72899E+04
      480.192      501.840     6.37260E-09     4.78643E-11     2.72589E-09     3.13045E-11     5.09695E+04
      501.840      525.456     6.18675E-09     4.61737E-11     2.71768E-09     3.06029E-11     5.52092E+04
      525.456      550.056     5.94635E-09     4.40000E-11     2.68755E-09     2.95805E-11     5.95782E+04
      550.056      578.100     5.62337E-09     4.08016E-11     2.64426E-09     2.79789E-11     6.89401E+04
      578.100      611.556     5.48700E-09     3.91669E-11     2.65366E-09     2.72380E-11     7.50909E+04
      611.556      649.932     5.19930E-09     3.64050E-11     2.64959E-09     2.59883E-11     8.35314E+04
      649.932      695.688     4.84699E-09     3.27037E-11     2.63405E-09     2.41086E-11     1.03785E+05
      695.688      754.236     4.53941E-09     2.91012E-11     2.66432E-09     2.22948E-11     1.46858E+05
      754.236      825.576     4.43590E-09     2.76553E-11     2.70992E-09     2.16155E-11     1.78693E+05
      825.576     1008.600     4.05969E-09     2.19961E-11     2.86702E-09     1.84848E-11     4.08947E+05
     1008.600     1639.836     3.93099E-09     2.14268E-11     3.37543E-09     1.98551E-11     6.69145E+05
