 Bin |     Volume (cm^3) | Temperature (kT) | fkT (kT) |         n (cm^-3) |        fn (cm^-3) |     P (erg cm^-3) |    fP (erg cm^-3) |             Yparm 
   0 | 2.70050919524e+70 |           7.1544 | 0.488187 |  0.00286990048351 | 0.000478542994476 | 3.28965641111e-11 | 5.92687935018e-12 |  2.2994395849e-06 
   1 |  3.3947098683e+70 |           6.0983 | 0.572191 |  0.00206745738136 | 0.000351111285545 | 2.02002080546e-11 | 3.91931341652e-12 | 1.72205030818e-06 
   2 | 3.71294790626e+70 |           6.1686 | 0.366423 |  0.00174726255455 |  0.00029964606542 | 1.72685263637e-11 | 3.13407838664e-12 | 1.63881285215e-06 
   3 | 4.04987703877e+70 |           5.5481 | 0.335876 |   0.0015932211802 | 0.000275393831396 |   1.416220394e-11 | 2.59378288798e-12 | 1.46163425195e-06 
   4 | 4.35697663749e+70 |           5.0872 | 0.333047 |  0.00147392565681 | 0.000258726617213 | 1.20133712338e-11 | 2.25066630789e-12 | 1.31765754954e-06 
   5 | 4.94231103471e+70 |           4.9311 |  0.31537 |  0.00131653164444 | 0.000239571676637 | 1.04012514519e-11 |  2.0062291164e-12 | 1.20690040788e-06 
   6 | 5.18150124763e+70 |           5.8225 |   0.2885 |  0.00122933686051 | 0.000210565410913 | 1.14680852041e-11 | 2.04483484822e-12 | 1.39421151909e-06 
   7 | 5.95994571545e+70 |            4.377 | 0.238012 |  0.00117153879282 | 0.000222453431906 | 8.21568347747e-12 |  1.6227151274e-12 | 1.04308948834e-06 
   8 | 6.66713619713e+70 |           5.4176 |  0.35723 |  0.00104455295584 |   0.0001867153525 | 9.06667198675e-12 | 1.72743333183e-12 | 1.19639564626e-06 
   9 | 7.53787446773e+70 |           5.1872 | 0.345634 | 0.000964964226878 | 0.000177189809866 | 8.01963689933e-12 |  1.5665474586e-12 | 1.09634856659e-06 
  10 | 8.69694569755e+70 |           4.7917 |  0.28355 | 0.000872356858457 | 0.000161389691485 | 6.69721563251e-12 | 1.30085138956e-12 | 9.47436207759e-07 
  11 | 1.06003966198e+71 |           5.1162 |  0.35921 | 0.000798068709839 | 0.000147498016552 | 6.54181543847e-12 | 1.29335255326e-12 | 9.59599392583e-07 
  12 | 1.10160595312e+71 |           4.6981 | 0.395838 | 0.000779829806474 | 0.000157594297306 | 5.86992548954e-12 | 1.28521196609e-12 | 8.88655929935e-07 
  13 | 1.17534584786e+71 |           4.6161 | 0.173948 | 0.000751884021344 | 0.000135285611171 | 5.56079060032e-12 |   1.022254043e-12 | 8.67786300603e-07 
  14 | 1.29508561594e+71 |           4.6026 | 0.180171 | 0.000661213240379 | 0.000125678309924 | 4.87590546395e-12 | 9.46225180401e-13 | 7.80957088085e-07 
  15 | 1.42710307418e+71 |           4.3811 | 0.250033 | 0.000613746408874 | 0.000127281372473 | 4.30806890319e-12 | 9.26638760794e-13 | 7.08410949555e-07 
  16 | 1.55040218282e+71 |           4.5476 |  0.27959 | 0.000593164923378 | 0.000115617455123 | 4.32183509867e-12 | 8.83307539713e-13 | 7.28969549748e-07 
  17 |  1.7131002856e+71 |           4.3408 | 0.255973 | 0.000546298777009 | 0.000109961261468 | 3.79936028299e-12 | 7.96893836924e-13 | 6.56187216776e-07 
  18 | 1.95466175256e+71 |            4.663 | 0.827881 | 0.000485641528195 | 0.000126074205725 | 3.62820431428e-12 | 1.14109922161e-12 | 6.42873773687e-07 
  19 | 2.09183799226e+71 |           4.6262 | 0.181019 | 0.000476642183078 | 9.12087520138e-05 | 3.53286783642e-12 | 6.90027422304e-13 | 6.40418917479e-07 
  20 |  2.3112632701e+71 |           5.1482 | 0.390464 | 0.000445876742877 | 8.75762202308e-05 | 3.67773748354e-12 |  7.7434245411e-13 | 6.81611667042e-07 
  21 | 2.67022750359e+71 |           4.2525 | 0.267428 | 0.000426098787886 | 8.85285093886e-05 | 2.90312088339e-12 | 6.30192497373e-13 | 5.49822532597e-07 
  22 | 2.84476511934e+71 |           4.4069 | 0.275772 | 0.000404129724012 |  8.4049346301e-05 | 2.85341195161e-12 | 6.19722656689e-13 |  5.5318156417e-07 
  23 | 3.67846014481e+71 |           4.4638 | 0.283267 | 0.000354741859116 | 7.06842770501e-05 | 2.53704198304e-12 |  5.3053771955e-13 | 5.03399165423e-07 
  24 | 3.97505978539e+71 |           4.4404 | 0.288075 | 0.000340283471045 | 7.00346512837e-05 | 2.42088106263e-12 | 5.22415527401e-13 | 4.91172330025e-07 
  25 |  4.4812794894e+71 |           4.5891 |  0.31339 | 0.000323668347104 | 6.44491648699e-05 | 2.37978779771e-12 | 5.00959174959e-13 | 4.93198514401e-07 
  26 | 5.17112418486e+71 |           4.4798 | 0.278317 | 0.000288068101624 |  6.1559335452e-05 | 2.06758946542e-12 | 4.60131613565e-13 | 4.29789558087e-07 
  27 | 5.77845667382e+71 |           4.2509 | 0.290762 | 0.000280776600461 | 6.04439182246e-05 | 1.91228347317e-12 | 4.31945450565e-13 | 4.15507462984e-07 
  28 | 7.34055807167e+71 |           4.2477 | 0.309996 | 0.000259512347258 | 5.42596579078e-05 | 1.76612881877e-12 | 3.91115952623e-13 | 3.93309942278e-07 
  29 | 8.97625126927e+71 |           4.1589 | 0.288641 | 0.000230228273868 | 4.87459242345e-05 | 1.53407857905e-12 | 3.41813333655e-13 | 3.51317494144e-07 
  30 | 1.08623862488e+72 |           4.2361 | 0.304056 | 0.000201788775101 | 4.46244725344e-05 | 1.36953684597e-12 | 3.18419119936e-13 | 3.23051596721e-07 
  31 | 1.51128142109e+72 |           3.2661 | 0.218637 | 0.000179715922406 | 4.37587716358e-05 | 9.40430092533e-13 | 2.37480172448e-13 | 2.29749040509e-07 
  32 | 2.50598473141e+72 |           3.2284 | 0.234194 | 0.000146381858944 | 3.52043611012e-05 | 7.57155512488e-13 | 1.90196787372e-13 | 1.92470616177e-07 
  33 | 3.54381923158e+72 |           3.4331 | 0.258094 | 0.000127197058038 | 3.06968070405e-05 | 6.99639001727e-13 | 1.76848496773e-13 | 1.86048083744e-07 
  34 | 1.40320979207e+73 |           2.6208 |  0.19106 | 6.79836711488e-05 | 1.91406703391e-05 | 2.85462450134e-13 | 8.30219508408e-14 | 8.33035799759e-08 
  35 | 6.11169862354e+73 |           0.5545 | 0.784181 | 6.13343224368e-05 | 2.82779393588e-05 | 5.44898487854e-14 | 8.10519471383e-14 | 1.24733795023e-08 
