Radius1 | Radius2 |                SB |           SBError |              BGRD |         BGRDError | Bin
    0.0 |   4.428 | 3.04297175442e-06 | 2.97996356215e-08 | 2.23285816016e-09 | 8.07221207319e-10 |   0
  4.428 |    7.38 | 1.57926434238e-06 | 1.52512644976e-08 | 2.42333204898e-09 | 5.97427100339e-10 |   1
   7.38 |    9.84 |  1.3896767469e-06 | 1.29101005021e-08 | 2.64702720318e-09 | 5.63445532812e-10 |   2
   9.84 |  11.808 |  1.2555324034e-06 | 1.23926047994e-08 | 2.65066573758e-09 | 5.69411323584e-10 |   3
 11.808 |  13.776 | 1.17911538292e-06 | 1.08260946943e-08 | 2.85267789181e-09 | 5.32500512059e-10 |   4
 13.776 |  15.744 | 1.05571237914e-06 | 9.54045895179e-09 | 2.42884676833e-09 | 4.57611079706e-10 |   5
 15.744 |  17.712 | 9.44628248113e-07 | 8.39465444792e-09 | 2.35684931397e-09 | 4.19312958781e-10 |   6
 17.712 |  19.188 | 9.07788795589e-07 | 8.94403549943e-09 | 2.77144065602e-09 | 4.94189931248e-10 |   7
 19.188 |  20.664 | 9.17717000889e-07 | 8.75936112593e-09 |  2.4477745083e-09 | 4.52380385035e-10 |   8
 20.664 |   22.14 | 9.05133440203e-07 | 8.40910657236e-09 |  2.6729758205e-09 | 4.56973549376e-10 |   9
  22.14 |  23.616 | 8.90245631678e-07 | 8.13356840786e-09 | 2.52530189485e-09 | 4.33194431024e-10 |  10
 23.616 |  25.092 | 8.69900033245e-07 |  7.7319814912e-09 | 2.62748351877e-09 | 4.24938538075e-10 |  11
 25.092 |  26.568 | 8.27787643802e-07 | 7.36563645619e-09 | 2.52935031602e-09 | 4.07150801904e-10 |  12
 26.568 |  28.044 | 7.76508718729e-07 | 7.04977163789e-09 | 2.41385169482e-09 | 3.93058485535e-10 |  13
 28.044 |   29.52 | 7.33881935115e-07 | 6.67543118136e-09 | 2.65283195155e-09 | 4.01347999783e-10 |  14
  29.52 |  30.996 | 7.00460790622e-07 | 6.30124122121e-09 | 2.49021533488e-09 | 3.75709907175e-10 |  15
 30.996 |  32.472 | 6.69821800208e-07 | 6.13502238158e-09 | 2.51319985708e-09 | 3.75794146674e-10 |  16
 32.472 |  33.948 | 6.22875244847e-07 | 5.79284473345e-09 | 2.60693359247e-09 | 3.74762692957e-10 |  17
 33.948 |  35.424 | 5.67966931262e-07 | 5.40941802242e-09 | 2.51684023397e-09 | 3.60094783898e-10 |  18
 35.424 |    36.9 | 5.23373782607e-07 | 5.07363228723e-09 |  2.5533798843e-09 | 3.54381232639e-10 |  19
   36.9 |  38.376 | 4.78196738621e-07 | 4.75566912447e-09 | 2.55854007241e-09 | 3.47859947053e-10 |  20
 38.376 |  40.344 | 4.23373004035e-07 | 3.79531279556e-09 | 2.52632537604e-09 | 2.93177513165e-10 |  21
