 Bin |     Volume (cm^3) | Temperature (kT) |  fkT (kT) |         n (cm^-3) |        fn (cm^-3) |     P (erg cm^-3) |    fP (erg cm^-3) |             Yparm 
   0 | 5.85419074611e+66 |           9.5824 |  0.576433 |   0.0944018172336 |   0.0233684380189 | 1.44932291167e-09 | 3.69210113158e-10 | 3.29181003921e-05 
   1 | 1.66669816702e+67 |           5.9479 |  0.279166 |   0.0712425513952 |    0.012803976168 | 6.78912183339e-10 | 1.26108784239e-10 | 2.29333549785e-05 
   2 | 2.39304458825e+67 |           5.1844 |  0.191909 |   0.0635026082995 |   0.0110398859651 | 5.27473402557e-10 | 9.37565495541e-11 | 1.84425522607e-05 
   3 | 2.59930680805e+67 |           5.2913 |  0.217506 |   0.0592841511785 |   0.0101029183368 | 5.02587253136e-10 | 8.81049366038e-11 | 1.86421970895e-05 
   4 | 3.47304741835e+67 |           5.8012 |  0.283126 |   0.0538553767273 |  0.00894255935497 | 5.00561441839e-10 | 8.66328845399e-11 |  1.9301144406e-05 
   5 |  4.2638169952e+67 |           6.0548 |  0.267711 |   0.0475034249466 |  0.00820415534622 | 4.60824139217e-10 | 8.21541061355e-11 | 1.99037181737e-05 
   6 | 5.14971458988e+67 |           5.9329 |  0.268701 |   0.0444123967038 |  0.00738133767297 | 4.22164517135e-10 | 7.27221694879e-11 | 1.88566195251e-05 
   7 | 4.49509099771e+67 |           6.1501 |  0.304197 |    0.042725369612 |  0.00732313760169 | 4.20996528914e-10 | 7.51033986414e-11 | 1.76085060894e-05 
   8 | 4.93267545131e+67 |            6.063 |  0.294439 |   0.0418158756209 |  0.00712844743408 | 4.06199393825e-10 | 7.20007073401e-11 | 1.76574986651e-05 
   9 | 5.49038331503e+67 |           6.3596 |  0.286803 |   0.0407420445983 |  0.00676937780437 |  4.1512904277e-10 | 7.14701332929e-11 | 1.82232236119e-05 
  10 | 6.07649917183e+67 |           6.2869 |  0.276479 |   0.0392988230562 |  0.00656336844926 |  3.9584630235e-10 | 6.83645302607e-11 | 1.84323239966e-05 
  11 |  6.8591630282e+67 |           6.2015 |  0.276337 |   0.0393305914428 |  0.00629680531397 | 3.90784845844e-10 | 6.49425153184e-11 | 1.87775082487e-05 
  12 | 7.46417056443e+67 |           6.2825 |  0.274499 |   0.0374444541229 |  0.00608470578816 |  3.7690376815e-10 | 6.34219846265e-11 | 1.86540902448e-05 
  13 | 7.92017317735e+67 |           6.7068 |  0.304763 |   0.0356418913436 |  0.00566862739108 | 3.82989254758e-10 |   6.334954287e-11 | 1.94862534961e-05 
  14 | 8.71856450104e+67 |             6.46 |  0.288217 |    0.034269415349 |  0.00556793262495 | 3.54690624323e-10 | 5.97617023805e-11 | 1.85307977547e-05 
  15 | 9.65369794467e+67 |           6.4287 |  0.283408 |   0.0330271575736 |  0.00530034671655 | 3.40176923369e-10 | 5.66154447692e-11 | 1.82252913343e-05 
  16 | 1.01024565624e+68 |           7.2172 |  0.453963 |   0.0320172641844 |  0.00521138180133 | 3.70223038651e-10 | 6.46034435739e-11 | 2.03121870045e-05 
  17 | 1.08536610541e+68 |           6.6446 |  0.295571 |   0.0312690280495 |  0.00512813112206 | 3.32884605453e-10 | 5.65657371957e-11 | 1.86862441577e-05 
  18 | 1.16655318217e+68 |           6.6883 |  0.308299 |   0.0296322825859 |  0.00502800401327 | 3.17534818043e-10 | 5.58320223337e-11 | 1.82188298459e-05 
  19 | 1.24535820839e+68 |           6.6698 |  0.325693 |   0.0284027297095 |  0.00484359590332 | 3.03517245725e-10 | 5.38397970024e-11 | 1.76398530634e-05 
  20 | 1.32609834852e+68 |           6.6575 |  0.352988 |   0.0271408710702 |  0.00456418498658 | 2.89497912407e-10 | 5.10462901972e-11 | 1.73049616342e-05 
  21 | 1.92677668163e+68 |           6.7253 |  0.250174 |   0.0248851413329 |  0.00399912781671 | 2.68140401849e-10 | 4.42304566748e-11 | 1.89284857669e-05 
  22 | 2.12061891975e+68 |           7.1652 |  0.461599 |   0.0240431986371 |  0.00370072661218 | 2.76013973202e-10 | 4.60551283356e-11 | 1.99673892837e-05 
  23 | 2.25055407158e+68 |           6.6979 |  0.319047 |   0.0219549291763 |  0.00358898035756 | 2.35603197851e-10 | 4.01159278357e-11 | 1.74474030706e-05 
  24 |  2.4046432447e+68 |             7.12 |  0.395273 |   0.0202304254298 |   0.0032651705682 | 2.30778579237e-10 | 3.93892772666e-11 | 1.74402975338e-05 
  25 |  2.5956382108e+68 |           6.8446 |  0.319047 |   0.0195546075571 |  0.00319814339058 | 2.14440930531e-10 | 3.64682964067e-11 | 1.65898992936e-05 
  26 |  3.3685448499e+68 |           7.5369 |  0.486065 |   0.0177328986757 |  0.00274863384128 | 2.14132694091e-10 |  3.5949265728e-11 | 1.72789664019e-05 
  27 | 3.67089711418e+68 |           7.4512 |  0.495823 |   0.0169133911817 |  0.00260384948929 | 2.01914453381e-10 | 3.38645745717e-11 | 1.86515011277e-05 
  28 |  3.9361905037e+68 |           7.3388 |  0.500773 |    0.016377323813 |  0.00247619939932 | 1.92565498598e-10 | 3.19430596532e-11 | 1.81915114876e-05 
  29 |  4.0759920815e+68 |           7.7537 |  0.506996 |   0.0151985935611 |  0.00240862451849 | 1.88809079756e-10 | 3.23687445646e-11 | 1.82161623781e-05 
  30 | 5.10428547518e+68 |           7.6079 |  0.534431 |   0.0136985786616 |  0.00211849230926 | 1.66974751006e-10 |  2.8361833885e-11 | 1.80836768634e-05 
  31 | 6.48674232664e+68 |           8.1372 |  0.536977 |   0.0120936861286 |  0.00190878353836 | 1.57668231146e-10 | 2.69727930665e-11 | 1.88483986946e-05 
  32 | 7.14030783402e+68 |           8.9071 |    1.0287 |   0.0107343968903 |  0.00178975307033 | 1.53187897795e-10 | 3.10701608612e-11 | 1.88571642577e-05 
  33 |  8.2603869477e+68 |          10.1027 |  0.797899 |    0.010303914036 |  0.00170744451427 | 1.66782387521e-10 | 3.06157712121e-11 | 2.11426720975e-05 
  34 | 9.17582317903e+68 |           9.8655 |  0.825476 |  0.00969226454071 |  0.00157369409202 | 1.53198626953e-10 | 2.79829325852e-11 | 1.98467956729e-05 
  35 | 9.86401595776e+68 |           9.3941 |  0.842164 |  0.00934933601577 |   0.0014926752156 | 1.40716961636e-10 | 2.57657165528e-11 | 1.86922740533e-05 
  36 | 1.05537162117e+69 |          10.1087 |  0.856448 |  0.00915442505617 |  0.00145357780064 | 1.48264393686e-10 | 2.66836947734e-11 | 2.00716541411e-05 
  37 | 1.13154321738e+69 |           9.0163 |  0.668357 |  0.00874177676188 |  0.00141095081912 | 1.26281161565e-10 | 2.24290088934e-11 | 1.75323153908e-05 
  38 | 1.19807527876e+69 |           9.5878 |  0.823921 |  0.00859425820265 |  0.00138206717275 | 1.32019431292e-10 |  2.4071554633e-11 | 1.86429561713e-05 
  39 | 1.27215942788e+69 |          10.0892 |  0.813738 |  0.00836263390228 |  0.00136475418675 | 1.35179336279e-10 | 2.46079471818e-11 | 1.93979700356e-05 
  40 | 1.34896243062e+69 |           9.0538 |  0.702157 |  0.00814356177426 |  0.00128819712515 |  1.1812879311e-10 |   2.081126202e-11 | 1.73434598972e-05 
  41 | 1.42611938915e+69 |           8.3447 |    0.5811 |  0.00786927352754 |  0.00127133055814 | 1.05209717583e-10 | 1.85090632705e-11 | 1.56724715314e-05 
  42 | 1.50701185243e+69 |          10.0511 |  0.811759 |  0.00770470452815 |  0.00124265412777 | 1.24073794868e-10 | 2.23799602645e-11 |  1.8825475374e-05 
  43 | 1.57868729423e+69 |            8.973 |  0.663832 |    0.007574873066 |   0.0011896021264 | 1.08898901693e-10 | 1.89047309879e-11 | 1.67381593521e-05 
  44 | 1.66670465281e+69 |           9.1315 |   0.78602 |  0.00730193289203 |  0.00115584732603 | 1.06829320318e-10 | 1.92489057119e-11 | 1.67623453758e-05 
