| Bin |  t_cool (Myr) |     t_cool_lo |     t_cool_hi |    c_s (cm/s) |     sigma c_s |  radius (kpc) |  sigma radius |    t_cs (Myr) | sigma t_cs |
|   0 | 164.459721517 | 19.3852969257 | 19.4077499273 | 112582894.016 |  941967.60843 | 4.18625573054 | 4.18625573054 | 3.63820846082 |        0.0 |
|   1 | 195.008070982 | 18.8080137116 | 18.8015528604 | 108384889.824 | 657258.319716 |  10.605181184 | 2.23266972296 | 9.43286666397 |        0.0 |
|   2 | 216.188306031 | 19.2886232704 | 19.3307885302 | 107338862.586 | 564564.205475 |   15.07052063 | 2.23266972296 | 13.5032163602 |        0.0 |
|   3 | 261.225351331 | 21.7341724259 | 21.7733999295 | 112123771.281 | 511722.120239 | 19.5358600759 | 2.23266972296 | 17.3998629119 |        0.0 |
|   4 | 305.579516667 | 24.3909563123 | 24.4442201739 | 115329486.229 | 492468.487936 | 24.0011995218 | 2.23266972296 | 21.1881977169 |        0.0 |
|   5 | 366.638263628 | 29.0424323187 |  29.083594277 | 120097030.815 | 692467.783912 | 28.4665389677 | 2.23266972296 | 24.8261453311 |        0.0 |
|   6 | 431.388149486 | 34.5753967791 | 34.6121243473 | 121684447.747 | 715752.745287 | 32.9318784136 | 2.23266972296 | 28.4166346238 |        0.0 |
|   7 | 511.222968771 | 42.6084852333 |  42.644703893 | 123852821.992 | 775054.057428 | 37.3972178595 | 2.23266972296 | 31.9442628175 |        0.0 |
|   8 | 609.418103672 | 53.0010730228 | 53.0702411311 | 125986436.404 | 829984.721656 | 41.8625573054 | 2.23266972296 | 35.4121496726 |        0.0 |
|   9 | 711.821181425 | 62.5069742815 | 62.5804138522 | 126299872.038 | 883051.327305 | 46.3278967513 | 2.23266972296 | 38.8714303486 |        0.0 |
|  10 | 834.800567718 | 74.5046262504 | 74.5779342326 | 127009977.231 |  947147.01608 | 50.7932361973 | 2.23266972296 | 42.3113703931 |        0.0 |
|  11 | 935.583351703 | 84.7268911734 | 84.8778523278 | 126621186.612 | 999950.679394 | 55.2585756432 | 2.23266972296 | 45.7618727807 |        0.0 |
|  12 | 1078.71187903 | 100.923634596 | 101.001232519 | 128296939.313 | 1055227.71005 | 59.7239150891 | 2.23266972296 | 49.1673063714 |        0.0 |
|  13 | 1239.41461927 | 120.175509037 | 120.383164056 | 128785700.746 | 1141326.01141 |  64.189254535 | 2.23266972296 | 52.5598158208 |        0.0 |
|  14 | 1384.00955168 | 135.419054083 | 135.634002643 |  129977646.76 | 1188893.76278 | 68.6545939809 | 2.23266972296 | 55.9212146275 |        0.0 |
|  15 | 1540.56118823 | 153.419471865 | 153.750472239 | 130634130.734 | 1246083.39965 | 73.1199334268 | 2.23266972296 | 59.2657211839 |        0.0 |
|  16 | 1654.58026585 | 166.974435682 | 167.614143961 | 131763199.537 | 1308308.11687 | 77.5852728727 | 2.23266972296 | 62.5815689187 |        0.0 |
|  17 | 1790.18072563 | 183.273008286 | 186.384667419 | 132389792.648 | 1547054.80188 | 82.0506123186 | 2.23266972296 | 65.8817229411 |        0.0 |
