# Fit results (zeros indicate that no fitting was performed)
# Reg_no. kT1 kT1_loerr kT1_hierr Z1 Z1_loerr Z1_hierr norm1 norm1_loerr norm1_hierr nH_Gal nH_loerr nH_hierr red_chisq total_counts num_bins model
      0  4.9154 -0.0821  0.0824  0.9650 -0.0509  0.0521 4.8763e-04 -6.6392e-06 6.6541e-06  0.3100  0.0000  0.0000  1.9834  76540.5      430     '1T'
      1  4.5555 -0.0551  0.0554  0.8156 -0.0310  0.0315 1.1265e-03 -1.0314e-05 1.0305e-05  0.3100  0.0000  0.0000  2.0090 163715.0      440     '1T'
      2  4.4681 -0.0470  0.0470  0.7809 -0.0260  0.0263 1.5771e-03 -1.2380e-05 1.2435e-05  0.3100  0.0000  0.0000  1.9633 222599.9      442     '1T'
      3  4.8753 -0.0445  0.0445  0.7023 -0.0232  0.0234 1.8700e-03 -1.2789e-05 1.2836e-05  0.3100  0.0000  0.0000  2.0957 265732.1      444     '1T'
      4  5.1580 -0.0440  0.0441  0.6542 -0.0217  0.0219 2.0271e-03 -1.2767e-05 1.2823e-05  0.3100  0.0000  0.0000  1.9539 289353.1      444     '1T'
      5  5.5934 -0.0645  0.0645  0.6171 -0.0221  0.0222 2.0617e-03 -1.2662e-05 1.2699e-05  0.3100  0.0000  0.0000  1.7803 282278.5      444     '1T'
      6  5.7422 -0.0675  0.0676  0.6003 -0.0228  0.0230 1.9707e-03 -1.2387e-05 1.2413e-05  0.3100  0.0000  0.0000  1.4771 264268.0      444     '1T'
      7  5.9487 -0.0744  0.0745  0.5857 -0.0249  0.0252 1.7721e-03 -1.2033e-05 1.2053e-05  0.3100  0.0000  0.0000  1.5182 222154.0      444     '1T'
      8  6.1554 -0.0810  0.0812  0.6052 -0.0281  0.0285 1.5282e-03 -1.1294e-05 1.1323e-05  0.3100  0.0000  0.0000  1.3708 187859.0      443     '1T'
      9  6.1861 -0.0864  0.0866  0.5395 -0.0278  0.0282 1.3667e-03 -1.0272e-05 1.0296e-05  0.3100  0.0000  0.0000  1.2641 172343.5      443     '1T'
     10  6.2559 -0.0932  0.0934  0.4874 -0.0283  0.0287 1.1918e-03 -9.2287e-06 9.2459e-06  0.3100  0.0000  0.0000  1.2683 154489.5      442     '1T'
     11  6.2176 -0.0980  0.0984  0.4484 -0.0284  0.0287 1.0842e-03 -8.6219e-06 8.6512e-06  0.3100  0.0000  0.0000  1.1538 142255.2      439     '1T'
     12  6.3834 -0.1049  0.1051  0.4629 -0.0311  0.0315 9.3123e-04 -7.8999e-06 7.9115e-06  0.3100  0.0000  0.0000  1.1503 126198.9      440     '1T'
     13  6.4320 -0.1137  0.1143  0.4314 -0.0330  0.0335 7.9002e-04 -7.1811e-06 7.2036e-06  0.3100  0.0000  0.0000  1.4016 108700.0      437     '1T'
     14  6.5516 -0.1195  0.1202  0.4025 -0.0337  0.0342 7.3807e-04 -6.8204e-06 6.8406e-06  0.3100  0.0000  0.0000  1.3079 101876.0      436     '1T'
     15  6.6180 -0.1259  0.1266  0.3926 -0.0350  0.0355 6.7759e-04 -6.4753e-06 6.5016e-06  0.3100  0.0000  0.0000  1.1662  93872.4      433     '1T'
     16  6.7294 -0.1298  0.1376  0.4026 -0.0365  0.0371 6.5561e-04 -6.4325e-06 6.4537e-06  0.3100  0.0000  0.0000  1.2599  89261.1      435     '1T'
     17  6.7737 -0.1348  0.1829  0.3927 -0.0372  0.0378 6.1091e-04 -6.1614e-06 6.1773e-06  0.3100  0.0000  0.0000  1.1268  83962.8      436     '1T'
