Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
  0 | 2.8608e+67 | 4.9154 | 0.0821 | 0.0824 |    0.10064 |   0.011743 |   0.011756 |     7.925e-10 | 9.3415e-11 | 9.3524e-11 | 1.2528e-05
  1 | 9.5226e+67 | 4.5555 | 0.0551 | 0.0554 |   0.083842 |  0.0080225 |   0.008019 |    6.1187e-10 | 5.9013e-11 | 5.8993e-11 | 1.1601e-05
  2 | 1.6504e+68 | 4.4681 |  0.047 |  0.047 |   0.075354 |  0.0066763 |  0.0066911 |    5.3937e-10 | 4.8124e-11 | 4.8229e-11 | 1.1885e-05
  3 | 2.4378e+68 | 4.8753 | 0.0445 | 0.0445 |   0.067515 |  0.0055834 |  0.0055936 |    5.2731e-10 | 4.3872e-11 | 4.3952e-11 | 1.3677e-05
  4 | 3.2784e+68 |  5.158 |  0.044 | 0.0441 |   0.060615 |  0.0048105 |   0.004821 |    5.0087e-10 | 3.9978e-11 | 4.0066e-11 | 1.3585e-05
  5 | 4.2395e+68 | 5.5934 | 0.0645 | 0.0645 |   0.053756 |  0.0042128 |  0.0042189 |    4.8169e-10 | 3.8156e-11 |  3.821e-11 |  1.451e-05
  6 | 5.3663e+68 | 5.7422 | 0.0675 | 0.0676 |   0.046714 |  0.0037036 |  0.0037075 |    4.2972e-10 | 3.4442e-11 | 3.4478e-11 | 1.3816e-05
  7 | 6.4146e+68 | 5.9487 | 0.0744 | 0.0745 |   0.040517 |  0.0033387 |  0.0033415 |    3.8612e-10 | 3.2182e-11 | 3.2209e-11 | 1.3493e-05
  8 | 7.5879e+68 | 6.1554 |  0.081 | 0.0812 |   0.034594 |   0.002974 |  0.0029778 |    3.4113e-10 | 2.9668e-11 | 2.9707e-11 | 1.2075e-05
  9 | 8.8964e+68 | 6.1861 | 0.0864 | 0.0866 |   0.030214 |  0.0026194 |  0.0026224 |    2.9942e-10 | 2.6293e-11 | 2.6324e-11 | 1.1488e-05
 10 | 1.0239e+69 | 6.2559 | 0.0932 | 0.0934 |     0.0263 |  0.0023143 |  0.0023165 |    2.6358e-10 | 2.3524e-11 | 2.3547e-11 | 1.0275e-05
 11 | 1.1557e+69 | 6.2176 |  0.098 | 0.0984 |    0.02361 |  0.0021055 |  0.0021091 |    2.3517e-10 | 2.1297e-11 | 2.1335e-11 | 9.7172e-06
 12 | 1.2856e+69 | 6.3834 | 0.1049 | 0.1051 |   0.020747 |  0.0019109 |  0.0019123 |    2.1216e-10 |  1.985e-11 | 1.9865e-11 | 8.8475e-06
 13 | 1.4032e+69 |  6.432 | 0.1137 | 0.1143 |   0.018291 |  0.0017438 |  0.0017466 |    1.8847e-10 | 1.8275e-11 | 1.8306e-11 |  8.171e-06
