| Bin |  t_cool (Myr) |     t_cool_lo |     t_cool_hi |    c_s (cm/s) |     sigma c_s |  radius (kpc) |  sigma radius |    t_cs (Myr) | sigma t_cs |
|   0 | 5692.66316805 | 1341.13718716 | 1372.71210582 | 141431781.916 | 8773677.93023 | 17.5822740683 | 17.5822740683 | 12.1636037843 |        0.0 |
|   1 | 6648.69922847 | 1483.06283399 | 1603.82025904 | 132494642.899 | 7245504.79221 |  43.816143313 | 8.65159517646 | 31.5366655612 |        0.0 |
|   2 | 7192.92140767 | 1665.27545721 | 1804.17584127 | 132568344.137 | 7178257.74985 | 59.4448313737 | 6.97709288424 | 43.0716476378 |        0.0 |
|   3 | 7290.46853154 | 1650.33516373 |  1725.4402184 | 128423800.225 | 6669980.26197 | 72.2826822807 | 5.86075802276 | 52.8525977392 |        0.0 |
|   4 | 8260.06643934 | 1865.36228444 | 2023.57655982 | 133097280.685 | 7052857.75522 | 83.7251146109 | 5.58167430739 | 61.2642905267 |        0.0 |
|   5 | 8213.50220493 | 1820.12654585 | 1955.64617781 | 120210441.356 | 5473390.25348 | 94.6093795103 | 5.30259059202 | 70.1234219434 |        0.0 |
|   6 | 9118.61895713 | 2226.72382279 |  2244.0904598 |  124492347.16 | 6269559.22474 | 104.935476979 | 5.02350687665 | 78.2391558207 |        0.0 |
|   7 | 10226.8921633 | 2400.69795344 | 2423.81317579 | 126650948.586 | 6243127.82782 | 114.703407017 | 4.74442316128 | 85.7853560792 |        0.0 |
|   8 | 10338.0320014 | 2426.23593572 | 2489.28384787 | 122085271.765 | 6374690.14714 | 123.913169624 | 4.46533944591 |  93.166427273 |        0.0 |
|   9 | 10378.0887002 | 2454.19851309 | 2644.57203634 | 117691580.709 | 5833743.69648 | 132.564764801 | 4.18625573054 | 100.359012666 |        0.0 |
|  10 | 10276.6545021 | 2520.34841915 |  2573.9745903 | 112900455.229 | 4864476.23378 | 140.937276262 | 4.18625573054 | 107.614962816 |        0.0 |
|  11 | 11239.4245457 | 2359.20285427 |  2278.1651923 | 113038222.375 | 5130020.92409 | 149.030704007 | 3.90717201517 | 114.620499433 |        0.0 |
|  12 |  11648.072026 | 2817.88004369 | 2849.30890712 | 111718729.276 | 5143869.19417 | 156.845048038 | 3.90717201517 | 121.464354011 |        0.0 |
|  13 | 11276.7975387 | 2720.83390479 | 2633.99332802 | 107018568.979 | 5115570.59909 | 164.380308353 |  3.6280882998 | 128.353626355 |        0.0 |
|  14 |  12795.545903 | 2993.82317907 | 3232.93360037 | 117784220.282 | 5875679.65937 | 171.636484952 |  3.6280882998 | 134.381372659 |        0.0 |
|  15 | 12231.7829529 | 2998.69220667 | 3070.43893324 | 112099873.965 | 5284528.47928 | 178.613577837 | 3.34900458443 | 140.471180837 |        0.0 |
|  16 | 12799.7169499 | 3039.50988293 | 3196.07190545 | 117005393.675 | 5397966.22837 | 185.311587005 | 3.34900458443 | 146.072290662 |        0.0 |
|  17 | 13229.8949126 | 3264.75570301 | 3286.96545139 | 112178629.231 | 5357251.78449 | 192.009596174 | 3.34900458443 | 151.914402164 |        0.0 |
|  18 | 12264.4919813 |  2915.8971348 | 3154.63557288 |  105915495.42 | 4579650.63954 | 198.707605343 | 3.34900458443 | 158.101977055 |        0.0 |
|  19 | 13803.4897777 | 3319.62965075 | 3400.50768952 | 111395438.029 | 5248498.43143 | 205.405614512 | 3.34900458443 | 163.985162863 |        0.0 |
|  20 | 13267.2627838 |  3166.6564914 | 3395.53315234 | 106604665.891 | 4800408.36942 | 212.103623681 | 3.34900458443 | 170.132736749 |        0.0 |
|  21 |  14897.078311 | 3419.86262869 | 3156.04342852 | 111169098.439 | 5461570.52646 |  218.80163285 | 3.34900458443 | 176.027900686 |        0.0 |
|  22 |  13832.542379 |   3413.449569 | 3633.07303732 | 105192540.087 |   4888747.315 | 225.499642019 | 3.34900458443 | 182.258000839 |        0.0 |
|  23 |  15494.320639 | 3908.56434577 | 4011.65885919 | 110223964.104 | 5400785.36913 | 232.197651187 | 3.34900458443 | 188.203713874 |        0.0 |
|  24 | 16163.8323967 |  4200.6191149 | 4311.82671047 | 110869204.883 | 5606596.64171 | 238.895660356 | 3.34900458443 | 194.114823823 |        0.0 |
|  25 | 15148.2054145 | 3728.91581254 | 3983.43177173 | 104873937.153 | 4590710.99926 | 245.593669525 | 3.34900458443 | 200.363850778 |        0.0 |
|  26 | 16723.3076516 | 4141.69803961 |  4236.8486148 | 111140389.545 | 5561011.42942 | 252.291678694 | 3.34900458443 | 206.260537507 |        0.0 |
|  27 | 17069.3139671 |  4407.1793597 | 4719.93342149 |  105551725.56 | 4630248.36734 | 259.547855294 | 3.90717201517 |  212.98684534 |        0.0 |
|  28 | 17342.1652432 | 4419.08323613 | 4703.46891719 | 104666817.116 | 5066057.55254 | 267.362199324 | 3.90717201517 | 220.291803662 |        0.0 |
|  29 | 17278.7439771 | 4603.94971753 | 4600.97077024 | 102766599.522 | 4846069.43745 | 274.897459639 |  3.6280882998 | 227.466119744 |        0.0 |
|  30 | 16607.2042069 | 4162.03598758 | 4287.17378614 | 101473690.205 | 4544412.92008 | 281.874552523 | 3.34900458443 | 234.193644168 |        0.0 |
|  31 |   17542.78424 | 4466.13118599 | 3860.35125554 | 102889394.237 | 4644169.17944 | 288.572561692 | 3.34900458443 |   240.5632031 |        0.0 |
|  32 | 17750.6099815 | 4429.56231028 | 4596.01965798 | 106619105.547 | 5299807.05909 | 294.991487146 | 3.06992086906 | 246.453830185 |        0.0 |
|  33 | 18292.2209189 | 4796.66643103 | 4283.89846598 | 102274897.274 | 4976525.00685 | 301.410412599 | 3.34900458443 | 252.594666379 |        0.0 |
|  34 | 17632.2890159 | 4575.49760161 | 4267.42082544 | 102109637.317 | 4804639.96762 | 307.829338053 | 3.06992086906 | 258.745441246 |        0.0 |
|  35 | 17036.4329607 | 4432.44780679 | 4551.10537592 | 100733093.269 | 4421668.57159 | 313.969179791 | 3.06992086906 | 264.709188633 |        0.0 |
|  36 |  19549.712882 | 4783.03715919 | 4678.59255082 |  107910322.21 | 6066805.57514 | 320.109021529 | 3.06992086906 | 270.276280913 |        0.0 |
|  37 | 19334.9603301 | 5044.38801105 | 5253.98748264 |  108132533.21 | 5541015.75388 | 326.248863267 | 3.06992086906 | 275.831932889 |        0.0 |
|  38 | 18482.5903375 | 4785.78133383 | 5097.02268108 |  104883469.29 |  5090012.3011 | 332.388705005 | 3.06992086906 | 281.559686994 |        0.0 |
|  39 | 17025.0256236 | 4772.18681144 | 4869.80745031 | 97912020.4562 | 4367341.15983 | 338.528546743 | 3.06992086906 |   287.6952638 |        0.0 |
|  40 | 17266.6197248 | 4581.37650729 | 4230.77068928 | 94153271.7018 | 4203444.22264 | 344.668388481 | 3.06992086906 | 294.075782616 |        0.0 |
|  41 | 19319.7400532 | 4879.55504996 |   4375.244192 | 101517497.287 | 4779959.03924 |  350.80823022 | 3.06992086906 | 299.993449401 |        0.0 |
|  42 | 19762.1822843 | 5209.20866605 | 5367.65893789 | 102575946.848 |  4920441.2749 | 356.948071958 | 3.06992086906 | 305.850053607 |        0.0 |
|  43 | 20497.4846083 |  5362.1547993 | 5346.64102981 | 103660305.149 | 5145098.43968 | 363.087913696 | 3.06992086906 | 311.645393693 |        0.0 |
|  44 | 20230.8127068 | 5265.53164584 | 4865.67973527 | 101645786.953 |  5014936.5544 | 369.227755434 | 3.06992086906 | 317.555591643 |        0.0 |
|  45 | 20873.0957579 | 5416.72161807 |  4828.6530458 | 104025754.523 | 5048318.68574 | 375.367597172 | 3.06992086906 | 323.330572315 |        0.0 |
|  46 | 18803.2325678 | 5164.58353481 | 5287.18578474 | 96947598.0011 | 4548436.82961 |  381.50743891 | 3.06992086906 | 329.527185064 |        0.0 |
|  47 | 21618.5294057 | 5921.64817388 | 6448.24727182 | 105584818.205 | 5458573.69048 | 387.647280648 | 3.06992086906 | 335.216892467 |        0.0 |
|  48 | 20749.1137374 | 5636.74695061 | 5787.80621915 | 100567944.489 | 4702011.16648 | 393.787122386 | 3.06992086906 | 341.190433288 |        0.0 |
|  49 | 20761.2322986 | 5623.58309912 | 6009.96867562 | 104102097.097 | 5045233.69833 | 399.926964125 | 3.06992086906 | 346.961178917 |        0.0 |
|  50 | 21820.8295978 | 5759.94269613 | 6185.41015188 | 104435606.705 | 5301968.62678 | 406.066805863 | 3.06992086906 | 352.713495973 |        0.0 |
|  51 | 22615.7608067 | 5868.34493075 | 6109.41813833 | 102221383.914 | 4843537.25222 | 412.485731316 | 3.34900458443 | 358.857546923 |        0.0 |
|  52 | 24123.9731406 | 6199.47631063 | 6271.43382214 | 105115292.711 | 5232727.90457 | 419.183740485 | 3.34900458443 | 365.092225467 |        0.0 |
|  53 | 24147.3019102 | 6607.17498816 |  7121.6614121 | 107059845.779 |  6077062.1314 | 425.602665939 | 3.06992086906 | 370.958602224 |        0.0 |
|  54 | 26942.4801023 | 7141.45676107 | 7547.46188719 | 114879556.462 | 6899680.74684 | 431.742507677 | 3.06992086906 | 376.187963655 |        0.0 |
|  55 | 26405.7957935 | 7021.36860869 | 6562.93042663 | 110488171.777 | 6561836.05456 | 437.882349415 | 3.06992086906 | 381.625167584 |        0.0 |
