Radius1 | Radius2 | SB  |   SBError | BGRD |      BGRDError | BinNo
                  0.0 |                30.996 |         2.06584818509e-08 | 2.75366230815e-10 |            2.95739133534e-09 | 1.04187564584e-10 |          0
               30.996 |                46.248 |         1.88708465558e-08 | 2.48941570523e-10 |            3.00060987739e-09 |  9.9267367449e-11 |          1
               46.248 |                58.548 |          1.7897079339e-08 | 2.36845537908e-10 |              2.977728009e-09 | 9.66087863024e-11 |          2
               58.548 |                 68.88 |         1.79106160425e-08 | 2.38267347772e-10 |            3.03794998955e-09 | 9.81294963719e-11 |          3
                68.88 |                 78.72 |         1.66910319136e-08 | 2.18795621856e-10 |            3.00993671867e-09 | 9.29128410318e-11 |          4
                78.72 |                88.068 |         1.60226576439e-08 |  2.0896613638e-10 |            2.85562451026e-09 | 8.82184027225e-11 |          5
               88.068 |                96.924 |         1.52600649296e-08 |  2.0019609191e-10 |            2.86184221353e-09 | 8.66962396837e-11 |          6
               96.924 |               105.288 |         1.49840825348e-08 | 1.93765256235e-10 |            2.92635375885e-09 |  8.5629667319e-11 |          7
              105.288 |                113.16 |         1.41600333258e-08 | 1.84057683174e-10 |             2.8957716772e-09 | 8.32346143452e-11 |          8
               113.16 |                120.54 |         1.33465668163e-08 | 1.76932630474e-10 |            2.91988270306e-09 | 8.27572129988e-11 |          9
               120.54 |                127.92 |         1.28337774069e-08 | 1.68473100641e-10 |            2.96368178334e-09 | 8.09597356638e-11 |         10
               127.92 |               134.808 |         1.25146352129e-08 | 1.65231414166e-10 |            2.99189049375e-09 | 8.07897666395e-11 |         11
              134.808 |               141.696 |         1.20546945347e-08 | 1.55844364924e-10 |            2.96745037704e-09 | 7.73222946924e-11 |         12
              141.696 |               148.092 |         1.16084941482e-08 | 1.54296727347e-10 |            2.95881732543e-09 | 7.78982728908e-11 |         13
              148.092 |               154.488 |         1.14204254878e-08 | 1.48902248716e-10 |            2.93639959874e-09 | 7.55036082981e-11 |         14
              154.488 |               160.392 |         1.13484871055e-08 |  1.4982850881e-10 |            2.91370268863e-09 | 7.59185792472e-11 |         15
              160.392 |               166.296 |         1.11274920933e-08 | 1.45860408326e-10 |            2.91963879492e-09 | 7.47142335314e-11 |         16
