Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
  0 | 4.4051e+69 | 7.7417 | 0.9173 | 1.0075 |  0.0047329 | 0.00096374 |  0.0009608 |    5.8698e-11 | 1.3829e-11 | 1.4154e-11 | 2.1138e-06
  1 | 5.9919e+69 | 6.7171 | 0.6337 | 0.8554 |  0.0038157 | 0.00077126 | 0.00078172 |     4.106e-11 | 9.1589e-12 | 9.9045e-12 |  1.807e-06
  2 | 6.6593e+69 | 6.7204 | 0.6233 | 0.8528 |  0.0034306 | 0.00072772 | 0.00074224 |    3.6934e-11 | 8.5508e-12 | 9.2641e-12 | 1.8309e-06
  3 | 6.8421e+69 | 6.3486 |    0.6 | 0.7287 |  0.0032004 | 0.00065831 |  0.0006624 |     3.255e-11 | 7.3682e-12 | 7.7036e-12 |   1.75e-06
  4 | 8.3334e+69 | 6.7592 | 0.5983 | 0.8578 |  0.0029426 | 0.00061135 | 0.00061662 |    3.1863e-11 | 7.1956e-12 | 7.8059e-12 | 1.8318e-06
  5 | 9.1552e+69 | 5.5148 | 0.4097 | 0.6109 |  0.0027296 | 0.00056988 |  0.0005753 |    2.4115e-11 |  5.344e-12 | 5.7418e-12 | 1.4671e-06
  6 | 9.5456e+69 | 6.0212 | 0.6012 | 0.6095 |  0.0024517 | 0.00054636 | 0.00054996 |    2.3649e-11 |  5.775e-12 |   5.82e-12 | 1.5095e-06
  7 | 1.0273e+70 | 6.2275 | 0.6053 | 0.6212 |  0.0022749 | 0.00048609 | 0.00048908 |    2.2695e-11 | 5.3276e-12 | 5.3789e-12 | 1.5096e-06
  8 |  1.075e+70 | 5.7624 | 0.5703 | 0.6369 |  0.0022028 | 0.00046876 | 0.00047123 |    2.0335e-11 | 4.7724e-12 | 4.8964e-12 | 1.4028e-06
  9 |  1.095e+70 | 5.2945 | 0.4424 | 0.6226 |  0.0020712 |  0.0004582 | 0.00046823 |    1.7567e-11 | 4.1543e-12 | 4.4766e-12 | 1.2506e-06
 10 | 1.1795e+70 | 4.9476 | 0.4214 | 0.4305 |  0.0019433 | 0.00044693 | 0.00045642 |    1.5403e-11 | 3.7775e-12 | 3.8579e-12 | 1.1292e-06
 11 | 1.1728e+70 | 4.9658 | 0.4503 | 0.4492 |  0.0019591 | 0.00037087 | 0.00035536 |    1.5585e-11 | 3.2713e-12 |  3.159e-12 | 1.1733e-06
 12 | 1.2789e+70 | 4.8412 | 0.4366 | 0.4548 |  0.0018215 | 0.00040889 |  0.0004114 |    1.4127e-11 | 3.4175e-12 | 3.4557e-12 | 1.0904e-06
 13 | 1.2224e+70 | 4.4237 | 0.3968 | 0.4524 |  0.0018233 | 0.00040839 | 0.00038289 |    1.2922e-11 | 3.1176e-12 | 3.0181e-12 | 1.0197e-06
 14 | 1.2959e+70 | 5.3106 | 0.4541 | 0.6194 |  0.0017224 | 0.00037512 | 0.00038604 |    1.4654e-11 | 3.4285e-12 | 3.7023e-12 | 1.1809e-06
 15 | 1.2457e+70 | 4.8751 | 0.4506 | 0.4683 |  0.0017196 | 0.00039046 |  0.0003988 |     1.343e-11 | 3.2924e-12 | 3.3712e-12 | 1.1024e-06
 16 | 1.3054e+70 | 5.2643 | 0.4339 | 0.5458 |  0.0016081 | 0.00035813 | 0.00036529 |    1.3562e-11 | 3.2204e-12 | 3.3863e-12 | 1.1335e-06
 17 | 1.3642e+70 | 4.8812 | 0.4562 |  0.476 |  0.0016123 | 0.00036823 | 0.00036843 |    1.2607e-11 | 3.1112e-12 | 3.1324e-12 | 1.0718e-06
 18 | 1.4411e+70 |  4.307 | 0.3248 | 0.4276 |  0.0016079 | 0.00036254 | 0.00038153 |    1.1094e-11 | 2.6377e-12 | 2.8536e-12 |  9.601e-07
 19 |  1.529e+70 | 4.8127 | 0.4434 | 0.4635 |  0.0015191 | 0.00033746 | 0.00034445 |    1.1712e-11 | 2.8167e-12 | 2.8853e-12 | 1.0304e-06
 20 | 1.6123e+70 | 4.3749 | 0.3558 |  0.438 |  0.0014767 | 0.00033137 | 0.00034782 |     1.035e-11 | 2.4703e-12 | 2.6488e-12 | 9.2503e-07
