| Bin |  t_cool (Myr) |     t_cool_lo |     t_cool_hi |    c_s (cm/s) |     sigma c_s |  radius (kpc) |   sigma radius |    t_cs (Myr) | sigma t_cs |
|   0 |  176.67129938 | 35.4417719063 | 35.4577118344 | 128760511.658 | 3076680.04805 | 3.06992086906 |  3.06992086906 | 2.33280651813 |        0.0 |
|   1 | 220.569559589 | 32.5151841191 | 32.5385808289 |  120982315.35 | 2076593.79519 | 7.81434403035 |  1.67450229222 |  6.1698414976 |        0.0 |
|   2 | 239.177054135 | 33.7451138547 | 34.1018922952 | 117254284.535 | 1637341.14432 | 10.8842648994 |  1.39541857685 | 8.73156759625 |        0.0 |
|   3 | 261.330270695 | 38.8657825958 | 38.9303139324 | 119834223.953 | 2264336.83363 | 13.3960183377 |  1.11633486148 | 10.7824009427 |        0.0 |
|   4 | 281.079327507 | 40.2045652228 | 40.6246305258 | 119198534.418 | 2039523.50866 | 15.6286880607 |  1.11633486148 | 12.6150858363 |        0.0 |
|   5 |    327.280012 | 48.1888973757 | 48.2979356243 | 125999763.879 | 1976506.21392 | 17.8613577837 |  1.11633486148 |  14.348845858 |        0.0 |
|   6 | 361.181965012 | 50.9817196284 | 51.0629411521 | 125418607.136 | 2047862.53203 | 20.0940275066 |  1.11633486148 | 16.0906396664 |        0.0 |
|   7 |  381.67813889 | 52.4588795905 | 52.5498258914 | 126892424.165 |  1981398.6989 | 22.3266972296 |  1.11633486148 | 17.8122030678 |        0.0 |
|   8 | 382.004564353 | 55.9132918932 | 56.0729737046 | 128422986.159 | 2144526.54921 | 24.2802832371 | 0.837251146109 | 19.3006179529 |        0.0 |
|   9 | 375.517471276 | 55.6503677839 | 55.7334077255 | 125213959.362 | 2164478.19779 | 25.9547855294 | 0.837251146109 |   20.60909838 |        0.0 |
|  10 | 401.608177243 | 58.2941393594 | 58.3648406956 | 128287684.265 | 2064374.84124 | 27.6292878216 | 0.837251146109 | 21.8862281058 |        0.0 |
|  11 | 420.618074424 | 60.7174256326 | 60.8083375136 | 129881891.439 | 2092147.48212 | 29.3037901138 | 0.837251146109 |  23.147681979 |        0.0 |
|  12 | 441.479971645 | 62.9553749656 | 63.0848844701 | 128591253.272 | 2191353.39453 |  30.978292406 | 0.837251146109 | 24.4217967485 |        0.0 |
