Bin | Vol (cm^3) |  T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm 
  0 | 3.0375e+66 |  6.4336 | 0.3079 | 0.3066 |    0.10533 |    0.02052 |   0.020535 |    1.0856e-09 | 2.1778e-10 | 2.1788e-10 | 2.4961e-05 
  1 | 1.5016e+67 |  5.6779 | 0.1951 | 0.1946 |   0.084525 |   0.012117 |   0.012128 |    7.6884e-10 | 1.1334e-10 | 1.1342e-10 | 2.9229e-05 
  2 |  1.909e+67 |  5.3214 | 0.1377 | 0.1601 |   0.078568 |   0.010897 |    0.01095 |    6.6978e-10 | 9.4502e-11 | 9.5497e-11 | 2.7394e-05 
  3 | 1.8439e+67 |  5.5705 | 0.2102 | 0.2107 |   0.073358 |   0.010553 |    0.01057 |    6.5464e-10 | 9.7361e-11 | 9.7524e-11 | 2.6709e-05 
  4 | 2.3421e+67 |  5.4985 | 0.1756 | 0.2015 |   0.068557 |  0.0095586 |  0.0095848 |     6.039e-10 | 8.6378e-11 | 8.7281e-11 | 2.6322e-05 
  5 |  2.896e+67 |  6.1585 | 0.1936 | 0.1927 |   0.060355 |  0.0086818 |  0.0087043 |    5.9546e-10 | 8.7676e-11 | 8.7874e-11 | 2.8016e-05 
  6 | 3.4165e+67 |  6.1011 | 0.1988 | 0.1996 |   0.057504 |  0.0078976 |  0.0079091 |    5.6204e-10 | 7.9334e-11 |  7.946e-11 | 2.7815e-05 
  7 | 3.9346e+67 |  6.2454 | 0.1948 | 0.1952 |    0.05528 |  0.0073996 |  0.0074123 |    5.5308e-10 | 7.6017e-11 | 7.6149e-11 | 2.8736e-05 
  8 | 3.1252e+67 |  6.3972 | 0.2134 | 0.2138 |   0.055466 |  0.0079048 |  0.0079278 |    5.6843e-10 |   8.32e-11 | 8.3438e-11 | 2.6893e-05 
  9 |  3.331e+67 |  6.0816 |   0.21 | 0.2104 |   0.054339 |  0.0078312 |  0.0078427 |    5.2941e-10 | 7.8456e-11 | 7.8573e-11 | 2.5736e-05 
 10 |  3.836e+67 |  6.3835 | 0.2051 | 0.2057 |   0.052143 |  0.0073809 |  0.0073892 |    5.3323e-10 | 7.7399e-11 | 7.7494e-11 | 2.6934e-05 
 11 | 4.0337e+67 |  6.5434 | 0.2107 | 0.2108 |   0.050865 |  0.0071575 |  0.0071686 |     5.332e-10 | 7.6968e-11 | 7.7084e-11 | 2.7346e-05 
 12 | 4.4277e+67 |  6.4135 | 0.2178 | 0.2193 |    0.04947 |  0.0068515 |  0.0068636 |    5.0827e-10 |  7.248e-11 | 7.2629e-11 | 2.6983e-05 
 13 | 4.7562e+67 |  6.4873 | 0.2194 | 0.2196 |     0.0472 |  0.0067214 |  0.0067304 |    4.9054e-10 | 7.1796e-11 | 7.1891e-11 | 2.6684e-05 
 14 | 5.2658e+67 |  6.5017 |  0.222 | 0.2232 |   0.046142 |  0.0064492 |  0.0064602 |     4.806e-10 | 6.9149e-11 |  6.928e-11 | 2.6559e-05 
 15 |  8.086e+67 |  6.6018 | 0.1989 | 0.1998 |   0.043242 |  0.0057034 |  0.0057118 |    4.5733e-10 | 6.1873e-11 | 6.1974e-11 | 2.9822e-05 
 16 | 9.0127e+67 |   6.503 | 0.1962 | 0.1968 |   0.040268 |  0.0055013 |  0.0055091 |    4.1951e-10 | 5.8692e-11 |  5.878e-11 | 2.8297e-05 
 17 | 9.6436e+67 |  6.5907 | 0.2116 | 0.2124 |   0.038231 |  0.0052209 |  0.0052385 |    4.0366e-10 | 5.6626e-11 | 5.6819e-11 | 2.7694e-05 
 18 | 1.0426e+68 |  6.5697 |  0.218 | 0.2184 |   0.036098 |  0.0049908 |  0.0049994 |    3.7992e-10 | 5.4018e-11 | 5.4111e-11 | 2.6792e-05 
 19 | 1.1247e+68 |  6.7326 | 0.2311 | 0.2984 |   0.033336 |   0.004642 |  0.0046516 |    3.5955e-10 | 5.1565e-11 |  5.264e-11 | 2.5754e-05 
 20 | 1.6596e+68 |  7.1686 | 0.3216 | 0.3223 |   0.030139 |  0.0039904 |  0.0039887 |    3.4612e-10 | 4.8385e-11 | 4.8378e-11 |  2.854e-05 
 21 | 1.8004e+68 |  6.9558 |  0.238 | 0.3365 |   0.027833 |  0.0037332 |  0.0037277 |    3.1015e-10 | 4.2932e-11 | 4.4165e-11 | 2.6415e-05 
 22 | 1.9352e+68 |  6.9129 | 0.2298 | 0.3414 |   0.025827 |  0.0035219 |  0.0035203 |    2.8602e-10 | 4.0146e-11 | 4.1466e-11 | 2.4751e-05 
