 Radius1 | Radius2 | SB |   SBError | BGRD |      BGRDError | BinNo 
                   0.0 |                  7.38 |         1.92950360573e-06 | 6.97456472953e-09 |             2.7870445197e-09 | 2.65073482995e-10 |          0
                  7.38 |                11.316 |         1.78357603072e-06 | 4.40848820602e-09 |            2.76643530233e-09 | 1.73621750518e-10 |          1
                11.316 |                15.252 |         1.67172012551e-06 | 3.54347743158e-09 |            2.76702820993e-09 | 1.44163283134e-10 |          2
                15.252 |                19.188 |         1.53528068715e-06 | 2.97847231532e-09 |            2.76148258308e-09 | 1.26319620998e-10 |          3
                19.188 |                23.124 |         1.38649457773e-06 | 2.57766791822e-09 |            2.73807972381e-09 | 1.14548904147e-10 |          4
                23.124 |                 27.06 |         1.16506158719e-06 | 2.19316899288e-09 |            2.70927768106e-09 |  1.0576072753e-10 |          5
                 27.06 |                30.996 |         9.48429575837e-07 | 1.84527686519e-09 |            2.71708067812e-09 | 9.87666368009e-11 |          6
                30.996 |                34.932 |         7.21174835304e-07 | 1.53050809364e-09 |            2.63394462529e-09 | 9.24950874582e-11 |          7
                34.932 |                38.868 |         5.50965482634e-07 |   1.271665317e-09 |            2.61870194779e-09 |  8.7670537217e-11 |          8
                38.868 |                42.804 |         4.53294400726e-07 | 1.09237624519e-09 |            2.63698697717e-09 | 8.33174692168e-11 |          9
                42.804 |                 46.74 |         3.62443703196e-07 | 9.22652259647e-10 |            2.65433845802e-09 | 7.89579621805e-11 |         10
                 46.74 |                50.676 |         3.02792178728e-07 | 8.03366235923e-10 |            2.64337940581e-09 | 7.50621521668e-11 |         11
                50.676 |                54.612 |         2.49018325313e-07 | 7.01545284385e-10 |            2.69705439295e-09 | 7.30104330625e-11 |         12
                54.612 |                58.548 |         2.00672261067e-07 | 6.09445069186e-10 |            2.72074453557e-09 | 7.09634572672e-11 |         13
                58.548 |                62.484 |         1.73192065738e-07 | 5.43248918078e-10 |             2.6778380107e-09 | 6.75502625837e-11 |         14
                62.484 |                 66.42 |          1.4777661303e-07 | 4.83037622975e-10 |            2.64889657675e-09 | 6.46711532441e-11 |         15
                 66.42 |                70.356 |         1.31720216835e-07 | 4.41580406813e-10 |            2.65052036414e-09 | 6.26396253738e-11 |         16
                70.356 |                74.292 |         1.18385326912e-07 | 4.09277612094e-10 |             2.6727145216e-09 | 6.14957847426e-11 |         17
                74.292 |                78.228 |         1.06259917656e-07 | 3.76264913171e-10 |            2.62896103019e-09 | 5.91835559654e-11 |         18
                78.228 |                82.164 |         9.75939866028e-08 | 3.50219847304e-10 |            2.65665367907e-09 | 5.77825512364e-11 |         19
                82.164 |                86.592 |         8.85165269093e-08 | 3.05879807301e-10 |            2.65336897979e-09 | 5.29587162167e-11 |         20
                86.592 |                 91.02 |         8.17373960496e-08 | 2.85399723518e-10 |            2.64996490964e-09 | 5.13881779801e-11 |         21
                 91.02 |                95.448 |         7.52916424245e-08 | 2.67686980282e-10 |            2.65300903897e-09 |  5.0248514094e-11 |         22
                95.448 |               100.368 |         6.92619015221e-08 | 2.40751430919e-10 |            2.64121581012e-09 | 4.70136106515e-11 |         23
               100.368 |               104.796 |         6.46411289617e-08 | 2.36105025088e-10 |            2.62322854394e-09 | 4.75629557049e-11 |         24
               104.796 |               109.716 |          5.9741042025e-08 | 2.08955957479e-10 |            2.63968487635e-09 | 4.39232426961e-11 |         25
               109.716 |               114.636 |         5.52728872737e-08 | 1.96656034018e-10 |            2.59873759294e-09 | 4.26414934973e-11 |         26
               114.636 |               119.556 |         5.13786606326e-08 | 1.85779615852e-10 |            2.63007251197e-09 | 4.20330143707e-11 |         27
               119.556 |               124.968 |         4.73483694043e-08 | 1.66092982601e-10 |            2.60045830396e-09 | 3.89245608235e-11 |         28
               124.968 |                130.38 |         4.36595498147e-08 | 1.56387760697e-10 |            2.60837636057e-09 | 3.82250690667e-11 |         29
                130.38 |               135.792 |         4.02450205997e-08 | 1.46240201565e-10 |            2.57464378625e-09 |  3.6988718462e-11 |         30
               135.792 |               141.696 |         3.66939660324e-08 | 1.30710349022e-10 |             2.6051859417e-09 | 3.48282781088e-11 |         31
               141.696 |                 147.6 |         3.36826318685e-08 | 1.22288220281e-10 |            2.58741184816e-09 | 3.38933432791e-11 |         32
                 147.6 |               153.996 |         3.06066500541e-08 | 1.10515098271e-10 |            2.59072681497e-09 | 3.21532235944e-11 |         33
               153.996 |               160.884 |         2.79675583457e-08 | 1.00036552406e-10 |            2.60374319729e-09 | 3.05232330088e-11 |         34
               160.884 |               168.264 |         2.54071283233e-08 | 9.09285098502e-11 |            2.58356852154e-09 | 2.89956111246e-11 |         35
               168.264 |               175.644 |         2.35174690989e-08 | 8.47692259485e-11 |            2.57641128872e-09 | 2.80576005688e-11 |         36
               175.644 |               183.024 |         2.15984387802e-08 |  7.8860772572e-11 |            2.58061930769e-09 | 2.72591191987e-11 |         37
               183.024 |               190.896 |          2.0239099104e-08 | 7.30521436521e-11 |            2.59176775491e-09 | 2.61417964049e-11 |         38
               190.896 |                199.26 |          1.8700196945e-08 | 6.65589378601e-11 |            2.60974305543e-09 | 2.48646393435e-11 |         39
                199.26 |               208.116 |         1.74935022781e-08 | 6.23848273766e-11 |            2.61467660549e-09 | 2.41184598087e-11 |         40
               208.116 |               216.972 |         1.61141605366e-08 | 5.86142601724e-11 |            2.61446992952e-09 | 2.36097442272e-11 |         41
               216.972 |                226.32 |         1.48481572223e-08 | 5.34485976652e-11 |            2.62752472147e-09 | 2.24839930402e-11 |         42
                226.32 |                236.16 |         1.36805663926e-08 | 4.93436159108e-11 |            2.65945521503e-09 | 2.17558103546e-11 |         43
                236.16 |               246.492 |         1.22958898646e-08 | 4.43493723408e-11 |            2.65697571838e-09 | 2.06158528779e-11 |         44
               246.492 |               257.316 |         1.13404544492e-08 | 4.09648649522e-11 |            2.65500815791e-09 |  1.9821166942e-11 |         45
               257.316 |                268.14 |         1.04948015824e-08 | 3.84319839556e-11 |            2.64731395097e-09 | 1.93022717497e-11 |         46
                268.14 |                280.44 |         9.65516206237e-09 | 3.46821288238e-11 |            2.65543643713e-09 | 1.81883764327e-11 |         47
