Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo

                  0.0 |                 5.412 |         2.03394621964e-06 |  1.6188818087e-08 |            2.81573376374e-09 | 6.02339332069e-10 |          0 
                5.412 |                 8.364 |         1.86568146021e-06 | 6.05560889546e-09 |            2.80371443689e-09 | 2.34750193469e-10 |          1 
                8.364 |                10.824 |         1.78434947827e-06 | 5.47133927666e-09 |            2.75837320343e-09 | 2.15119701423e-10 |          2 
               10.824 |                12.792 |         1.71370891934e-06 | 5.39980075915e-09 |            2.74479849831e-09 | 2.16104805597e-10 |          3 
               12.792 |                 14.76 |         1.66591814252e-06 | 4.93561141482e-09 |            2.76855012787e-09 | 2.01205719544e-10 |          4 
                14.76 |                16.728 |          1.5930937777e-06 | 4.47080658161e-09 |             2.7243321827e-09 | 1.84882264668e-10 |          5 
               16.728 |                18.696 |         1.52104218803e-06 | 4.13992498981e-09 |            2.74092298828e-09 | 1.75739853936e-10 |          6 
               18.696 |                20.664 |          1.4495497089e-06 | 3.86864161903e-09 |            2.76479390845e-09 | 1.68955881674e-10 |          7 
               20.664 |                 22.14 |         1.38410075411e-06 | 4.14272448462e-09 |            2.72203902814e-09 | 1.83717010968e-10 |          8 
                22.14 |                23.616 |         1.29499575779e-06 | 3.97135302718e-09 |            2.76519862521e-09 | 1.83513278503e-10 |          9 
               23.616 |                25.092 |         1.20401988565e-06 | 3.64493732172e-09 |            2.66273325004e-09 | 1.71410357265e-10 |         10 
               25.092 |                26.568 |         1.12897650112e-06 | 3.46502537391e-09 |            2.77528997105e-09 | 1.71798018138e-10 |         11 
               26.568 |                28.044 |         1.04966665952e-06 | 3.28254444078e-09 |            2.67616013908e-09 | 1.65745207406e-10 |         12 
               28.044 |                 29.52 |         9.69256324663e-07 |  3.0938324953e-09 |            2.76999164879e-09 | 1.65392835924e-10 |         13 
                29.52 |                30.996 |         8.74974600729e-07 | 2.81696921347e-09 |            2.69677565437e-09 | 1.56389216604e-10 |         14 
               30.996 |                32.964 |         7.72729237219e-07 | 2.28238283829e-09 |            2.65229538688e-09 | 1.33716731365e-10 |         15 
               32.964 |                34.932 |         6.73238739628e-07 | 2.05427141346e-09 |            2.61688218043e-09 | 1.28075292473e-10 |         16 
               34.932 |                  36.9 |          5.8581336532e-07 | 1.87494534981e-09 |            2.58899678158e-09 | 1.24644958419e-10 |         17 
                 36.9 |                38.868 |         5.17603844451e-07 | 1.72442451704e-09 |            2.64714017153e-09 | 1.23320108318e-10 |         18 
               38.868 |                40.836 |         4.78063873362e-07 |  1.6070478806e-09 |            2.61423867706e-09 | 1.18838856952e-10 |         19 
               40.836 |                43.296 |         4.23801089121e-07 | 1.31205197678e-09 |            2.66432001702e-09 | 1.04031098596e-10 |         20 
               43.296 |                45.756 |         3.65137971795e-07 | 1.17594341321e-09 |            2.66150486497e-09 | 1.00397188117e-10 |         21 
               45.756 |                48.216 |         3.27088645472e-07 | 1.08184192798e-09 |            2.60841089784e-09 | 9.66093304417e-11 |         22 
               48.216 |                50.676 |         2.93061616108e-07 | 9.88412728858e-10 |            2.66825518676e-09 | 9.43132156809e-11 |         23 
               50.676 |                53.628 |         2.56495227562e-07 | 8.23069788115e-10 |            2.67875752204e-09 | 8.41131129945e-11 |         24 
               53.628 |                 56.58 |         2.14855401046e-07 | 7.39025623708e-10 |            2.74092343829e-09 | 8.34708434428e-11 |         25 
                56.58 |                59.532 |         1.89294074579e-07 |  6.7574648915e-10 |            2.67160679982e-09 | 8.02789312469e-11 |         26 
               59.532 |                61.992 |         1.72051279347e-07 | 6.83495249281e-10 |            2.69538106712e-09 | 8.55493322041e-11 |         27 
               61.992 |                64.452 |         1.55056767428e-07 | 6.30846464273e-10 |            2.67050036851e-09 |  8.2789381283e-11 |         28 
               64.452 |                 66.42 |         1.42121691989e-07 | 6.64378332187e-10 |            2.64177403618e-09 |  9.0580166235e-11 |         29 
                66.42 |                 68.88 |         1.33891296601e-07 | 5.68214875045e-10 |            2.66982750377e-09 | 8.02376201333e-11 |         30 
                68.88 |                72.816 |          1.2352322395e-07 | 4.20584782606e-10 |            2.65765577555e-09 | 6.16919686294e-11 |         31 
               72.816 |                76.752 |         1.10723088097e-07 | 3.88076298383e-10 |            2.64238636625e-09 | 5.99509673663e-11 |         32 
               76.752 |                80.688 |         1.00409253527e-07 | 3.59431907899e-10 |            2.63833031616e-09 | 5.82632024848e-11 |         33 
               80.688 |                84.624 |          9.2274571198e-08 | 3.35090448543e-10 |            2.67246102841e-09 |  5.7026502313e-11 |         34 
               84.624 |                 88.56 |         8.47611470311e-08 | 3.13323493801e-10 |            2.62847282788e-09 | 5.51755037491e-11 |         35 
                88.56 |                92.496 |         7.93721228302e-08 | 2.95162925001e-10 |            2.67565209975e-09 | 5.41929290667e-11 |         36 
               92.496 |                96.432 |         7.35531952018e-08 | 2.79982697356e-10 |             2.6403684477e-09 | 5.30472252617e-11 |         37 
               96.432 |                99.876 |         6.87562159039e-08 | 2.86007494248e-10 |            2.65046641193e-09 |  5.6154243863e-11 |         38 
               99.876 |               104.304 |          6.5272753877e-08 | 2.38579001784e-10 |            2.61320551047e-09 | 4.77367713164e-11 |         39 
              104.304 |                108.24 |         6.07451122617e-08 |  2.3635699735e-10 |            2.63852537039e-09 | 4.92598878424e-11 |         40 
               108.24 |               112.176 |         5.69076002609e-08 | 2.25038706303e-10 |            2.61910699729e-09 | 4.82779376817e-11 |         41 
              112.176 |               116.112 |         5.36696175892e-08 | 2.14763921705e-10 |            2.60631864443e-09 | 4.73272008783e-11 |         42 
              116.112 |               120.048 |         5.04968608313e-08 | 2.04992169354e-10 |            2.61699075364e-09 | 4.66666028569e-11 |         43 
              120.048 |               123.984 |         4.76503936272e-08 | 1.96170857752e-10 |            2.61696092954e-09 | 4.59726858197e-11 |         44 
              123.984 |                127.92 |         4.49675982506e-08 | 1.87070419879e-10 |            2.60588425445e-09 | 4.50332040125e-11 |         45 
               127.92 |               131.856 |         4.22186855186e-08 | 1.78372421544e-10 |            2.58761641061e-09 | 4.41596172263e-11 |         46 
              131.856 |               135.792 |         3.96448615659e-08 | 1.69553641699e-10 |            2.57694707394e-09 | 4.32281270429e-11 |         47 
              135.792 |               139.728 |         3.71584712928e-08 | 1.61797733906e-10 |            2.61251475772e-09 | 4.29015403652e-11 |         48 
              139.728 |               144.156 |          3.5095117153e-08 | 1.45656017306e-10 |            2.58094257639e-09 | 3.94997403193e-11 |         49 
              144.156 |               148.584 |         3.28887130429e-08 | 1.39015455208e-10 |            2.59095940385e-09 | 3.90184431198e-11 |         50 
              148.584 |               153.012 |         3.05107490444e-08 | 1.32461127927e-10 |            2.59685904492e-09 | 3.86443654938e-11 |         51 
              153.012 |                157.44 |         2.87104823483e-08 | 1.27196290376e-10 |            2.60425613896e-09 | 3.83085810728e-11 |         52 
               157.44 |               161.868 |         2.73329949155e-08 | 1.22622180092e-10 |            2.59693019079e-09 | 3.77968450065e-11 |         53 
              161.868 |               166.296 |         2.56046488648e-08 | 1.18114051981e-10 |            2.57874025439e-09 | 3.74840012961e-11 |         54 
              166.296 |               170.724 |          2.4228041233e-08 | 1.13063182552e-10 |            2.57048288656e-09 | 3.68272585493e-11 |         55 
              170.724 |               175.152 |         2.31911975526e-08 | 1.08048679057e-10 |            2.58202521123e-09 | 3.60527252639e-11 |         56 
              175.152 |                179.58 |         2.21047256616e-08 | 1.03449383864e-10 |            2.58058959957e-09 | 3.53463712182e-11 |         57 
               179.58 |               184.008 |         2.10730137567e-08 | 1.00324115703e-10 |            2.58167763512e-09 | 3.51150283944e-11 |         58 
              184.008 |               188.436 |         2.04149094306e-08 | 9.79245944089e-11 |            2.59510855684e-09 | 3.49136967694e-11 |         59 
              188.436 |               192.864 |         1.94633628683e-08 | 9.44914860551e-11 |            2.60253286981e-09 |  3.4552687747e-11 |         60 
              192.864 |               197.784 |         1.86966671829e-08 | 8.65220179869e-11 |            2.61197589414e-09 | 3.23391900132e-11 |         61 
              197.784 |               202.704 |         1.79809646698e-08 | 8.52432318559e-11 |            2.60716616305e-09 | 3.24591979667e-11 |         62 
              202.704 |               207.624 |         1.72775133025e-08 | 8.30324611486e-11 |            2.62093034253e-09 | 3.23396293482e-11 |         63 
              207.624 |               212.544 |         1.65406525375e-08 | 8.00469884171e-11 |            2.61878169763e-09 | 3.18506530032e-11 |         64 
              212.544 |               217.956 |         1.57016262601e-08 | 7.35984508901e-11 |            2.61469098925e-09 | 3.00335402282e-11 |         65 
              217.956 |               223.368 |         1.50053276352e-08 | 7.07018466574e-11 |            2.63133420494e-09 |   2.960711009e-11 |         66 
              223.368 |                228.78 |         1.42967623138e-08 | 6.85759342121e-11 |            2.62874898225e-09 | 2.94054230251e-11 |         67 
               228.78 |               234.192 |         1.36326246197e-08 | 6.64101069664e-11 |            2.66585281491e-09 | 2.93671986668e-11 |         68 
              234.192 |               239.604 |          1.2821299522e-08 | 6.30826498141e-11 |            2.64627533023e-09 |  2.8659024742e-11 |         69 
              239.604 |               245.016 |         1.22197175238e-08 | 6.10029423264e-11 |            2.66728044022e-09 |  2.8500634872e-11 |         70 
              245.016 |               250.428 |         1.16538108443e-08 |  5.9216864551e-11 |            2.65641332239e-09 | 2.82721776803e-11 |         71 
              250.428 |               255.348 |          1.1198738187e-08 | 6.01990526044e-11 |            2.65916217604e-09 | 2.93344213361e-11 |         72 
              255.348 |               261.744 |          1.0901695659e-08 | 5.15171106714e-11 |            2.64870236467e-09 | 2.53934119949e-11 |         73 
              261.744 |               267.156 |         1.02894339426e-08 | 5.35694524789e-11 |             2.6460618757e-09 |  2.7165734737e-11 |         74 
              267.156 |               272.568 |         9.89322583482e-09 | 5.26200944628e-11 |            2.65332739002e-09 | 2.72507265225e-11 |         75 
              272.568 |                277.98 |         9.63701650111e-09 | 5.26125502073e-11 |            2.65545578168e-09 | 2.76177061682e-11 |         76 
               277.98 |               283.392 |         9.31637047296e-09 | 5.07335975772e-11 |            2.63260747479e-09 | 2.69690300552e-11 |         77 
              283.392 |               288.804 |         8.86686068981e-09 | 4.95489665889e-11 |            2.66705757247e-09 |  2.7174769001e-11 |         78 
              288.804 |               294.216 |         8.46578330047e-09 | 4.78498529104e-11 |            2.67856145543e-09 | 2.69152133724e-11 |         79 
              294.216 |               299.628 |         8.22376569489e-09 | 4.61126263672e-11 |            2.68636577819e-09 | 2.63552463896e-11 |         80 
              299.628 |                305.04 |         7.93728070053e-09 |  4.5585585503e-11 |            2.68114075049e-09 | 2.64942395243e-11 |         81 
               305.04 |               310.452 |         7.80654055271e-09 | 4.48559461894e-11 |            2.68192041228e-09 | 2.62913966172e-11 |         82 
              310.452 |               316.356 |         7.43937677091e-09 | 4.14900974135e-11 |            2.66352008671e-09 | 2.48258519357e-11 |         83 
              316.356 |                322.26 |         7.22039895586e-09 | 4.05096368582e-11 |            2.67092345368e-09 | 2.46381719601e-11 |         84 
               322.26 |               328.164 |          6.9444388407e-09 | 3.89458236515e-11 |            2.68268773531e-09 | 2.42062424769e-11 |         85 
              328.164 |               334.068 |         6.59263227787e-09 | 3.78094084123e-11 |            2.68533135328e-09 | 2.41306709847e-11 |         86 
              334.068 |               339.972 |         6.45031757008e-09 | 3.69833747116e-11 |            2.69866033193e-09 | 2.39215938614e-11 |         87 
              339.972 |               345.876 |         6.23571977471e-09 |  3.6337804442e-11 |            2.70451785089e-09 | 2.39309712709e-11 |         88 
              345.876 |                351.78 |         6.02884240106e-09 | 3.55641598133e-11 |            2.70610198616e-09 | 2.38269067804e-11 |         89 
               351.78 |               358.176 |         5.81704626487e-09 | 3.34733497864e-11 |            2.71263865748e-09 | 2.28582979438e-11 |         90 
              358.176 |                364.08 |         5.64455827521e-09 | 3.43694094914e-11 |            2.72450210871e-09 | 2.38781491509e-11 |         91 
               364.08 |               369.984 |         5.43860228041e-09 | 3.35563412108e-11 |            2.72326648433e-09 | 2.37452105294e-11 |         92 
              369.984 |               375.888 |          5.3109395979e-09 | 3.28084368083e-11 |            2.74213893533e-09 | 2.35746141338e-11 |         93 
              375.888 |               381.792 |          5.1422356788e-09 | 3.21927251951e-11 |            2.74970675496e-09 | 2.35410018941e-11 |         94 
              381.792 |               387.696 |         4.80896420773e-09 |  3.0983197657e-11 |            2.75358391457e-09 | 2.34449669034e-11 |         95 
              387.696 |                 393.6 |         4.65335553049e-09 | 3.01743232981e-11 |             2.7595351257e-09 | 2.32365887521e-11 |         96 
                393.6 |               399.996 |         4.50936468746e-09 | 2.83204076616e-11 |            2.77960620108e-09 | 2.22348122484e-11 |         97 
              399.996 |               406.392 |         4.47746242577e-09 | 2.82032377862e-11 |            2.79500974519e-09 | 2.22830507507e-11 |         98 
              406.392 |               412.296 |         4.29984522906e-09 | 2.85814117455e-11 |            2.80361523948e-09 | 2.30789720185e-11 |         99 
