Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
  0 | 3.5208e+66 |  4.667 | 0.1806 | 0.1819 |    0.12929 |   0.022976 |   0.023012 |    9.6665e-10 | 1.7581e-10 | 1.7613e-10 | 1.3735e-05
  1 | 4.1092e+67 | 4.5219 | 0.0726 | 0.0729 |   0.098314 |   0.010972 |   0.010977 |     7.122e-10 | 8.0302e-11 | 8.0341e-11 | 1.2264e-05
  2 | 5.2578e+67 | 4.1924 | 0.0453 | 0.0454 |    0.09508 |   0.010222 |   0.010237 |    6.3858e-10 | 6.9001e-11 | 6.9102e-11 | 1.1847e-05
  3 | 5.2832e+67 | 4.1722 | 0.0464 | 0.0464 |   0.093252 |   0.010227 |   0.010248 |    6.2328e-10 | 6.8704e-11 | 6.8845e-11 | 1.2799e-05
  4 | 6.6237e+67 | 4.1502 | 0.0436 | 0.0437 |      0.089 |  0.0094445 |  0.0094538 |    5.9172e-10 |   6.31e-11 | 6.3163e-11 | 1.3223e-05
  5 | 8.3416e+67 | 4.3088 | 0.0423 | 0.0748 |   0.084008 |  0.0084864 |  0.0085036 |    5.7988e-10 | 5.8855e-11 | 5.9555e-11 | 1.3572e-05
  6 | 9.8647e+67 | 4.5674 | 0.0614 | 0.0615 |   0.079267 |  0.0078223 |  0.0078354 |       5.8e-10 | 5.7764e-11 | 5.7861e-11 | 1.4689e-05
  7 | 1.1326e+68 | 4.7128 | 0.0612 | 0.0613 |   0.075563 |  0.0073322 |  0.0073444 |     5.705e-10 | 5.5851e-11 | 5.5944e-11 | 1.5131e-05
  8 | 9.1633e+67 | 4.7895 | 0.0693 | 0.0697 |   0.074612 |  0.0076191 |  0.0076267 |    5.7248e-10 | 5.9043e-11 | 5.9108e-11 | 1.5366e-05
  9 | 9.6482e+67 | 4.9697 | 0.0722 | 0.0725 |   0.070795 |  0.0072497 |  0.0072733 |    5.6363e-10 | 5.8296e-11 | 5.8487e-11 | 1.5448e-05
 10 | 1.1148e+68 | 5.1369 | 0.0728 | 0.0732 |   0.067287 |  0.0067513 |  0.0067648 |    5.5373e-10 |  5.611e-11 | 5.6226e-11 | 1.6098e-05
 11 | 1.1918e+68 | 5.2339 |  0.075 | 0.0755 |   0.065137 |  0.0065173 |  0.0065351 |    5.4616e-10 | 5.5203e-11 | 5.5358e-11 | 1.6454e-05
 12 | 1.2907e+68 | 5.1931 | 0.0752 | 0.0756 |    0.06113 |  0.0062542 |  0.0062724 |    5.0856e-10 | 5.2549e-11 | 5.2705e-11 | 1.5197e-05
