Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm
  0 | 3.0375e+66 |  6.019 | 0.3151 | 0.3134 |    0.11024 |   0.021462 |   0.021487 |     1.063e-09 | 2.1429e-10 | 2.1445e-10 | 2.4443e-05
  1 | 1.5016e+67 | 5.2047 | 0.1356 | 0.1364 |   0.088688 |   0.012747 |   0.012796 |    7.3947e-10 | 1.0801e-10 | 1.0844e-10 | 2.8113e-05
  2 |  1.909e+67 |   4.96 | 0.1354 | 0.1362 |   0.082423 |   0.011597 |   0.011652 |    6.5493e-10 | 9.3867e-11 | 9.4318e-11 | 2.6786e-05
  3 | 1.8439e+67 |  5.121 | 0.1466 | 0.1481 |   0.077005 |    0.01118 |   0.011229 |    6.3174e-10 | 9.3483e-11 | 9.3912e-11 | 2.5774e-05
  4 | 2.3421e+67 |  5.098 | 0.1403 | 0.1415 |   0.071947 |   0.010121 |   0.010177 |    5.8759e-10 | 8.4224e-11 | 8.4702e-11 | 2.5612e-05
  5 |  2.896e+67 | 5.6669 | 0.1958 | 0.1953 |   0.063372 |  0.0091277 |   0.009145 |    5.7531e-10 | 8.5216e-11 | 8.5357e-11 | 2.7068e-05
  6 | 3.4165e+67 |  5.597 | 0.1831 | 0.1983 |   0.060284 |  0.0083032 |  0.0083151 |    5.4053e-10 | 7.6521e-11 | 7.6976e-11 | 2.6751e-05
  7 | 3.9346e+67 | 5.7353 | 0.1943 | 0.1948 |   0.058016 |  0.0077873 |  0.0078017 |    5.3305e-10 | 7.3793e-11 | 7.3932e-11 | 2.7695e-05
  8 | 3.1252e+67 | 5.8887 | 0.2139 | 0.2141 |   0.058194 |  0.0083177 |  0.0083477 |    5.4899e-10 | 8.0961e-11 |  8.124e-11 | 2.5973e-05
  9 |  3.331e+67 | 5.5797 | 0.1841 | 0.2106 |   0.057027 |  0.0082338 |  0.0082411 |    5.0974e-10 | 7.5497e-11 | 7.6135e-11 |  2.478e-05
 10 |  3.836e+67 | 5.8855 | 0.2056 | 0.2059 |   0.054672 |  0.0077664 |  0.0077834 |    5.1548e-10 | 7.5408e-11 |  7.557e-11 | 2.6037e-05
 11 | 4.0337e+67 | 6.0467 | 0.2112 | 0.2113 |   0.053353 |  0.0075293 |  0.0075467 |    5.1682e-10 | 7.5136e-11 | 7.5302e-11 | 2.6506e-05
 12 | 4.4277e+67 | 5.9132 | 0.2162 | 0.2174 |   0.051851 |  0.0072099 |  0.0072277 |    4.9118e-10 | 7.0621e-11 | 7.0809e-11 | 2.6076e-05
 13 | 4.7562e+67 | 5.9882 | 0.2197 | 0.2203 |     0.0495 |  0.0070673 |  0.0070988 |    4.7486e-10 |      7e-11 | 7.0305e-11 | 2.5831e-05
 14 | 5.2658e+67 | 5.9925 | 0.2207 | 0.2219 |   0.048377 |  0.0067908 |  0.0068116 |    4.6442e-10 | 6.7398e-11 | 6.7615e-11 | 2.5665e-05
 15 |  8.086e+67 | 6.0757 | 0.1983 |  0.199 |   0.045389 |  0.0060076 |   0.006031 |    4.4178e-10 | 6.0225e-11 | 6.0459e-11 | 2.8808e-05
 16 | 9.0127e+67 | 5.9923 | 0.1972 | 0.1973 |   0.042251 |  0.0057932 |  0.0058024 |     4.056e-10 | 5.7192e-11 | 5.7279e-11 | 2.7359e-05
 17 | 9.6436e+67 | 6.0587 | 0.2107 | 0.2111 |   0.040127 |  0.0055083 |  0.0055209 |    3.8947e-10 | 5.5153e-11 | 5.5278e-11 | 2.6721e-05
 18 | 1.0426e+68 | 6.0367 | 0.2173 | 0.2184 |   0.037894 |  0.0052604 |   0.005272 |    3.6647e-10 | 5.2555e-11 |  5.268e-11 | 2.5844e-05
 19 | 1.1247e+68 | 6.2033 | 0.2294 |  0.231 |   0.034962 |  0.0048938 |  0.0049012 |    3.4744e-10 | 5.0302e-11 | 5.0396e-11 | 2.4886e-05
 20 | 1.6596e+68 | 6.5364 | 0.2101 | 0.2116 |    0.03162 |  0.0041804 |  0.0041866 |     3.311e-10 | 4.5049e-11 |  4.513e-11 | 2.7301e-05
 21 | 1.8004e+68 |  6.389 | 0.2194 |  0.221 |   0.029214 |  0.0039309 |  0.0039416 |    2.9901e-10 | 4.1523e-11 | 4.1648e-11 | 2.5466e-05
 22 | 1.9352e+68 |  6.361 | 0.2211 | 0.2228 |   0.027098 |  0.0037019 |  0.0037112 |    2.7613e-10 | 3.8926e-11 | 3.9035e-11 | 2.3896e-05
 23 | 2.1094e+68 | 6.6531 | 0.2436 | 0.2879 |   0.024568 |  0.0033278 |  0.0033428 |    2.6186e-10 | 3.6742e-11 | 3.7387e-11 | 2.5315e-05
 24 | 2.9365e+68 | 6.6334 | 0.2271 | 0.2448 |   0.022229 |  0.0029095 |  0.0029175 |    2.3622e-10 | 3.1959e-11 | 3.2206e-11 | 2.5401e-05
 25 | 3.1702e+68 | 6.7136 | 0.2348 | 0.3222 |   0.021484 |  0.0027689 |  0.0027829 |    2.3107e-10 | 3.0857e-11 | 3.1919e-11 | 2.5413e-05
 26 | 3.4184e+68 | 6.7456 | 0.2425 | 0.3214 |   0.020817 |  0.0026031 |   0.002612 |    2.2495e-10 |  2.927e-11 | 3.0193e-11 | 2.5436e-05
 27 | 2.8621e+68 | 6.6665 | 0.2507 | 0.3014 |    0.02094 |  0.0027549 |  0.0027649 |    2.2363e-10 |   3.06e-11 | 3.1212e-11 | 2.3761e-05
 28 | 3.0344e+68 |  6.806 | 0.2556 | 0.3927 |   0.021048 |  0.0026779 |  0.0026819 |    2.2949e-10 | 3.0443e-11 |   3.21e-11 | 2.4936e-05
 29 | 2.3811e+68 | 6.2153 | 0.2342 | 0.2381 |   0.024514 |  0.0030764 |  0.0030867 |    2.4408e-10 | 3.1983e-11 | 3.2125e-11 | 2.4405e-05
 30 | 3.3425e+68 |  7.051 | 0.3407 | 0.3874 |   0.018789 |  0.0024255 |  0.0024257 |    2.1223e-10 | 2.9254e-11 | 2.9777e-11 | 2.3725e-05
 31 |  6.878e+68 | 8.3536 | 0.3723 | 0.4437 |   0.013188 |  0.0017785 |  0.0017801 |    1.7649e-10 | 2.5067e-11 |   2.56e-11 | 2.4799e-05
 32 | 7.4125e+68 | 8.8334 | 0.4642 | 0.5993 |   0.012316 |  0.0016525 |  0.0016527 |    1.7428e-10 | 2.5114e-11 | 2.6206e-11 | 2.5064e-05
 33 | 7.9996e+68 |  8.538 | 0.3905 | 0.5624 |   0.011788 |  0.0015909 |   0.001589 |    1.6124e-10 | 2.2976e-11 | 2.4191e-11 | 2.3719e-05
 34 |  8.622e+68 | 8.0192 | 0.3837 | 0.3871 |    0.01149 |   0.001538 |  0.0015385 |    1.4761e-10 | 2.0982e-11 |  2.101e-11 | 2.2304e-05
 35 | 9.2238e+68 | 8.4358 | 0.3841 | 0.4767 |   0.011195 |  0.0014975 |  0.0015002 |    1.5129e-10 | 2.1378e-11 | 2.2003e-11 |  2.331e-05
 36 | 9.8955e+68 | 8.5298 | 0.3799 | 0.4466 |   0.010902 |  0.0014693 |  0.0014692 |    1.4897e-10 | 2.1146e-11 | 2.1539e-11 | 2.3389e-05
 37 | 1.0528e+69 | 8.2913 | 0.3864 | 0.4098 |    0.01071 |  0.0014135 |   0.001414 |    1.4226e-10 | 1.9911e-11 | 2.0055e-11 | 2.2743e-05
 38 | 9.2972e+68 | 7.9852 | 0.3754 | 0.3789 |   0.011576 |  0.0015425 |  0.0015428 |    1.4809e-10 | 2.0924e-11 |  2.095e-11 | 2.2579e-05
 39 | 1.3885e+69 | 8.1077 | 0.3881 | 0.3927 |  0.0094851 |  0.0012479 |  0.0012479 |     1.232e-10 | 1.7248e-11 | 1.7272e-11 | 2.1505e-05
 40 |  1.258e+69 | 8.0808 | 0.3772 |   0.38 |  0.0099339 |  0.0013259 |  0.0013265 |     1.286e-10 | 1.8184e-11 | 1.8206e-11 | 2.1574e-05
 41 | 1.3188e+69 | 8.3313 | 0.3887 | 0.5127 |  0.0097073 |   0.001274 |  0.0012743 |    1.2956e-10 | 1.8046e-11 | 1.8784e-11 | 2.2161e-05
 42 | 1.3939e+69 |  8.048 | 0.3846 |  0.389 |  0.0094411 |  0.0012267 |  0.0012274 |    1.2172e-10 | 1.6852e-11 | 1.6883e-11 | 2.1136e-05
 43 | 1.4668e+69 | 8.1903 | 0.3827 |  0.386 |  0.0090619 |  0.0011982 |  0.0011983 |     1.189e-10 | 1.6675e-11 | 1.6692e-11 | 2.0928e-05
 44 | 1.5041e+69 |  7.772 | 0.3856 | 0.3894 |  0.0088555 |  0.0011722 |  0.0011721 |    1.1026e-10 | 1.5586e-11 | 1.5605e-11 | 1.9646e-05
 45 | 1.5683e+69 | 8.0834 | 0.3964 | 0.4013 |  0.0086419 |  0.0011372 |  0.0011376 |    1.1191e-10 | 1.5715e-11 | 1.5744e-11 | 2.0195e-05
 46 | 1.6934e+69 | 7.9978 | 0.3839 | 0.3871 |  0.0082182 |  0.0011019 |  0.0011021 |     1.053e-10 | 1.4995e-11 | 1.5012e-11 | 1.9224e-05
 47 | 1.7743e+69 | 8.0678 | 0.3975 | 0.4015 |  0.0080652 |  0.0010733 |  0.0010738 |    1.0424e-10 | 1.4792e-11 | 1.4816e-11 | 1.9364e-05
 48 | 1.8458e+69 | 8.5311 |  0.409 | 0.5176 |  0.0078081 |  0.0010512 |  0.0010505 |    1.0671e-10 |  1.525e-11 | 1.5749e-11 | 2.0042e-05
 49 | 2.2798e+69 |   8.49 | 0.3869 | 0.6107 |  0.0072913 | 0.00095465 | 0.00095576 |    9.9169e-11 | 1.3748e-11 | 1.4828e-11 | 2.1046e-05
 50 | 2.3333e+69 | 8.4904 | 0.3891 | 0.5594 |  0.0070074 | 0.00094274 | 0.00094216 |    9.5312e-11 | 1.3546e-11 | 1.4271e-11 | 2.0482e-05
 51 | 2.4451e+69 | 8.5548 | 0.3933 | 0.5243 |  0.0068603 |  0.0009176 | 0.00091751 |     9.402e-11 | 1.3298e-11 | 1.3832e-11 | 2.0453e-05
 52 | 2.6098e+69 | 8.2699 | 0.3891 | 0.4192 |  0.0066936 | 0.00088611 | 0.00088668 |     8.868e-11 | 1.2459e-11 | 1.2578e-11 | 1.9517e-05
 53 | 2.7228e+69 | 8.1985 | 0.3874 | 0.3915 |  0.0065324 | 0.00087662 | 0.00087664 |    8.5797e-11 | 1.2206e-11 | 1.2221e-11 | 1.9098e-05
 54 | 2.8289e+69 | 9.5361 | 0.6157 | 0.6195 |  0.0064883 | 0.00084999 | 0.00085007 |    9.9121e-11 | 1.4477e-11 | 1.4495e-11 | 2.2304e-05
 55 | 2.9253e+69 | 8.5665 | 0.3983 | 0.5149 |  0.0062516 | 0.00084838 | 0.00085033 |    8.5793e-11 | 1.2307e-11 | 1.2758e-11 |  1.951e-05
 56 | 3.0142e+69 | 8.6648 | 0.4107 | 0.6192 |   0.006125 | 0.00080984 | 0.00081035 |    8.5022e-11 | 1.1942e-11 | 1.2784e-11 |  1.953e-05
 57 | 3.1798e+69 | 8.7168 |  0.455 | 0.6174 |  0.0058756 | 0.00079129 | 0.00079009 |    8.2049e-11 | 1.1851e-11 |  1.247e-11 | 1.9034e-05
 58 | 3.2915e+69 | 8.2787 | 0.4052 | 0.4443 |  0.0056875 | 0.00078199 | 0.00078254 |    7.5431e-11 | 1.1009e-11 |  1.114e-11 | 1.7661e-05
 59 |   3.43e+69 | 8.4852 | 0.4181 | 0.5494 |  0.0056801 | 0.00076736 | 0.00076684 |    7.7211e-11 | 1.1103e-11 | 1.1561e-11 | 1.8245e-05
 60 | 3.5396e+69 | 8.7821 | 0.5206 | 0.6359 |  0.0055558 | 0.00075653 | 0.00075635 |    7.8165e-11 | 1.1608e-11 | 1.2053e-11 | 1.8628e-05
 61 | 4.2602e+69 |  8.564 | 0.4113 | 0.5672 |  0.0053717 | 0.00070371 | 0.00070546 |    7.3697e-11 | 1.0283e-11 |  1.084e-11 | 1.8659e-05
 62 | 4.4094e+69 | 8.1221 | 0.4113 | 0.4175 |  0.0051964 | 0.00068053 |  0.0006805 |    6.7613e-11 | 9.4937e-12 | 9.5121e-12 | 1.7285e-05
 63 | 4.5885e+69 | 8.3178 |  0.408 | 0.4835 |  0.0048963 | 0.00066658 | 0.00066689 |    6.5243e-11 | 9.4412e-12 | 9.6619e-12 |  1.685e-05
 64 |  4.742e+69 | 8.5432 |  0.416 | 0.6031 |  0.0047684 | 0.00065121 | 0.00065114 |    6.5261e-11 | 9.4621e-12 | 1.0032e-11 | 1.7007e-05
 65 | 5.6327e+69 | 8.6389 | 0.4285 | 0.6193 |  0.0045552 | 0.00060571 | 0.00060567 |    6.3042e-11 | 8.9469e-12 | 9.5229e-12 | 1.7396e-05
 66 | 5.8487e+69 | 8.4098 | 0.4123 | 0.5089 |  0.0044212 | 0.00059132 | 0.00059156 |    5.9564e-11 |  8.485e-12 | 8.7469e-12 | 1.6606e-05
 67 | 6.0589e+69 | 8.5689 | 0.4095 | 0.6026 |  0.0043315 | 0.00058685 | 0.00058869 |     5.946e-11 | 8.5424e-12 | 9.0989e-12 | 1.6752e-05
 68 | 6.2631e+69 | 7.6556 | 0.4126 | 0.4182 |  0.0042664 | 0.00056698 |  0.0005673 |    5.2324e-11 | 7.5037e-12 | 7.5218e-12 | 1.5534e-05
 69 | 6.5022e+69 | 8.4461 | 0.4229 |  0.598 |   0.004115 | 0.00056214 | 0.00056257 |    5.5679e-11 | 8.1009e-12 | 8.5722e-12 | 1.6697e-05
 70 | 6.7175e+69 | 8.4457 | 0.4268 | 0.6262 |  0.0041075 | 0.00055586 |  0.0005561 |    5.5575e-11 | 8.0281e-12 | 8.5785e-12 | 1.6747e-05
 71 | 6.9483e+69 |  8.215 | 0.4218 |  0.443 |  0.0039813 | 0.00054846 | 0.00054866 |    5.2395e-11 |  7.703e-12 | 7.7537e-12 | 1.5936e-05
