Radius1               | Radius2               | SB                        |   SBError         | BGRD                         |      BGRDError    | BinNo
                  0.0 |                34.932 |         2.02763799208e-08 | 2.68330412281e-10 |            3.00745741496e-09 | 1.03341419244e-10 |          0 
               34.932 |                52.152 |         1.84203775105e-08 | 2.44357027498e-10 |             2.9543251112e-09 | 9.78598876224e-11 |          1 
               52.152 |                66.912 |         1.75257139732e-08 | 2.30222585418e-10 |            3.06652019094e-09 | 9.63014822759e-11 |          2 
               66.912 |                79.704 |         1.66219378535e-08 | 2.19424379684e-10 |            3.04595686706e-09 | 9.39303493053e-11 |          3 
               79.704 |                92.004 |         1.57996987071e-08 | 2.09302030116e-10 |            2.89918352298e-09 | 8.96575597927e-11 |          4 
               92.004 |               103.812 |          1.4851872672e-08 | 1.97056552371e-10 |            2.95597333379e-09 |  8.7912477364e-11 |          5 
              103.812 |               115.128 |         1.38323908743e-08 | 1.81843182958e-10 |            2.97791697014e-09 | 8.43732354131e-11 |          6 
              115.128 |               126.444 |         1.26779424834e-08 | 1.66505652903e-10 |            2.99704548254e-09 | 8.09564109432e-11 |          7 
              126.444 |               137.268 |          1.1803253634e-08 | 1.56642984989e-10 |            3.10407672752e-09 |  8.0329730226e-11 |          8 
              137.268 |                 147.6 |         1.12631022251e-08 | 1.48963609282e-10 |            2.99891285664e-09 | 7.68657912587e-11 |          9 
                147.6 |               157.932 |         1.07409176229e-08 | 1.39737848796e-10 |            3.04111279074e-09 | 7.43549078528e-11 |         10 
              157.932 |               167.772 |          1.0498968661e-08 | 1.36786575647e-10 |            2.96327000884e-09 | 7.26700993207e-11 |         11 
              167.772 |                177.12 |         1.02514738219e-08 | 1.36499106185e-10 |            3.09257727028e-09 | 7.49716276711e-11 |         12 
               177.12 |               186.468 |         9.99988327134e-09 | 1.30839983147e-10 |            3.07754982647e-09 |  7.2584781002e-11 |         13 
              186.468 |               196.308 |         9.22745419757e-09 | 1.19854325539e-10 |            3.13021459584e-09 | 6.98071350215e-11 |         14 
              196.308 |               205.656 |         9.09135086079e-09 |  1.2120649329e-10 |            3.05884994601e-09 |  7.0305735328e-11 |         15 
              205.656 |               215.988 |         8.75850496915e-09 | 1.14400778721e-10 |            3.11642974961e-09 | 6.82405707603e-11 |         16 
              215.988 |                226.32 |         8.32795433821e-09 | 1.10863850688e-10 |            3.18661058082e-09 | 6.85780736277e-11 |         17 
               226.32 |               238.128 |         7.74805977918e-09 | 1.02338093619e-10 |            3.39674271223e-09 |  6.7759806728e-11 |         18 
              238.128 |               249.936 |         7.41111857291e-09 | 9.69417705385e-11 |            3.38383605468e-09 | 6.55048880082e-11 |         19 
              249.936 |               261.744 |         6.87119100884e-09 | 9.04023412553e-11 |            3.40402006118e-09 | 6.36296769594e-11 |         20 
              261.744 |               273.552 |          6.4922365048e-09 | 8.47951337735e-11 |            3.33912543301e-09 | 6.08121179628e-11 |         21 
              273.552 |               284.376 |         6.47708281177e-09 | 8.54986685184e-11 |            3.29883446694e-09 |  6.1016866823e-11 |         22 
              284.376 |               295.692 |         6.12642445395e-09 | 7.98168090786e-11 |            3.32188961445e-09 |  5.8773752015e-11 |         23 
              295.692 |               307.008 |         5.87364195535e-09 | 7.72181462966e-11 |            3.32567219467e-09 | 5.81039094614e-11 |         24 
              307.008 |                 319.8 |         5.28876763832e-09 | 6.92866610352e-11 |            3.29085938217e-09 |  5.4654641148e-11 |         25 
                319.8 |               333.084 |         4.79138176564e-09 | 6.38471633436e-11 |            3.26390030308e-09 | 5.26962447056e-11 |         26 
              333.084 |                346.86 |         4.49297576241e-09 | 5.91882786095e-11 |            3.26989428031e-09 | 5.04935087682e-11 |         27 
               346.86 |               360.144 |         4.37554917812e-09 | 5.73432981874e-11 |            3.16581893022e-09 | 4.87763651383e-11 |         28 
              360.144 |               373.428 |          4.2098485105e-09 | 5.54237832556e-11 |            3.20723636341e-09 | 4.83758290135e-11 |         29 
              373.428 |               386.712 |         4.02640373934e-09 | 5.33790859484e-11 |            3.23490093227e-09 | 4.78457031761e-11 |         30 
              386.712 |               401.964 |         3.56399982683e-09 |  4.6835624896e-11 |            3.27338516633e-09 | 4.48854982049e-11 |         31 
              401.964 |               416.724 |         3.55718592959e-09 | 4.66621327599e-11 |            3.26222181268e-09 | 4.46856487493e-11 |         32 
              416.724 |               430.992 |         3.42930760804e-09 | 4.56839084429e-11 |            3.23589825897e-09 |   4.437694911e-11 |         33 
              430.992 |                447.72 |         2.83306380224e-09 |  3.7703152119e-11 |            3.23626332925e-09 |  4.0296880264e-11 |         34 
               447.72 |               464.448 |          2.7942458742e-09 | 3.70637243058e-11 |            3.26797551312e-09 | 4.00826229047e-11 |         35 
              464.448 |               483.636 |         2.45322450648e-09 | 3.26198636393e-11 |            3.22743408006e-09 | 3.74146921283e-11 |         36 
              483.636 |               507.744 |         2.05934103205e-09 | 2.74331652041e-11 |            3.26594323037e-09 | 3.45474586008e-11 |         37 
              507.744 |               532.836 |         2.01150959146e-09 | 2.68080168697e-11 |            3.25799518322e-09 | 3.41176302315e-11 |         38 
              532.836 |               561.372 |         1.76068942284e-09 | 2.34254553652e-11 |             3.2210270412e-09 | 3.16842798533e-11 |         39 
              561.372 |               593.352 |         1.65108206006e-09 | 2.19637943971e-11 |            3.26011908387e-09 | 3.08631165991e-11 |         40 
              593.352 |               631.236 |         1.50282430612e-09 | 1.99675170678e-11 |            3.32884758812e-09 | 2.97178185849e-11 |         41 
              631.236 |                 676.5 |         1.35846280186e-09 | 1.80592026276e-11 |             3.3160631106e-09 | 2.82153917455e-11 |         42 
                676.5 |               746.856 |         1.04415862142e-09 |  1.3907379899e-11 |            3.40927949416e-09 | 2.51300511072e-11 |         43 
              746.856 |               859.524 |         8.58006420965e-10 | 1.14261616138e-11 |            3.42219455868e-09 | 2.28195682716e-11 |         44 
              859.524 |              1039.596 |         7.44141614659e-10 | 9.91866861245e-12 |            3.52518289939e-09 | 2.15881994364e-11 |         45 
             1039.596 |         2612.39241044 |          5.5903748283e-10 | 1.03548262519e-11 |            3.72746505503e-09 |  2.6738013357e-11 |         46 
