 Bin | Vol (cm^3) | T (kT) | kT_lo  |  kT_hi |  n (cm^-3) |       n_lo |       n_hi | P (erg cm^-3) |       P_lo |       P_hi |      Yparm 
   0 | 5.2971e+69 | 6.5636 | 0.5811 | 0.7639 |  0.0045975 | 0.00093886 | 0.00094637 |    4.8342e-11 |  1.076e-11 | 1.1431e-11 | 1.8773e-06 
   1 |  7.254e+69 | 5.7026 | 0.5598 | 0.6237 |  0.0037121 | 0.00074874 |   0.000767 |    3.3913e-11 | 7.6072e-12 | 7.9281e-12 | 1.8915e-06 
   2 | 8.6568e+69 | 5.1052 | 0.3993 | 0.4724 |  0.0032673 | 0.00070391 | 0.00071781 |    2.6722e-11 | 6.1246e-12 | 6.3701e-12 | 1.8071e-06 
   3 | 1.0252e+70 | 5.0986 | 0.3994 |  0.442 |  0.0031205 | 0.00068313 | 0.00069617 |    2.5488e-11 | 5.9263e-12 | 6.1005e-12 | 1.4281e-06 
   4 | 1.1905e+70 | 5.0963 |  0.414 | 0.4656 |  0.0028333 | 0.00060506 |  0.0006178 |    2.3132e-11 | 5.2852e-12 | 5.4687e-12 |  1.549e-06 
   5 |  1.346e+70 | 5.8785 | 0.5748 | 0.6196 |  0.0023803 | 0.00050259 | 0.00050547 |    2.2416e-11 | 5.2159e-12 | 5.3143e-12 | 1.8758e-06 
   6 | 1.5463e+70 | 4.9197 | 0.3927 | 0.4032 |  0.0021795 | 0.00047881 | 0.00048787 |    1.7178e-11 |  4.015e-12 | 4.0947e-12 | 1.2131e-06 
   7 | 1.7986e+70 | 4.8194 | 0.3912 | 0.3974 |  0.0019486 | 0.00045004 | 0.00045836 |    1.5045e-11 |  3.683e-12 |   3.75e-12 | 1.3108e-06 
   8 |   1.92e+70 | 4.0579 | 0.3091 | 0.3563 |  0.0019187 | 0.00044125 | 0.00044717 |    1.2473e-11 | 3.0217e-12 | 3.1064e-12 | 9.8405e-07 
   9 | 2.0268e+70 | 4.1933 | 0.3266 | 0.4376 |  0.0017688 | 0.00040733 | 0.00037493 |    1.1882e-11 | 2.8886e-12 | 2.8073e-12 | 1.1981e-06 
  10 | 2.2298e+70 | 4.6702 | 0.4198 | 0.4401 |  0.0015673 | 0.00035454 | 0.00036188 |    1.1726e-11 | 2.8543e-12 | 2.9243e-12 | 1.0631e-06 
  11 | 2.3061e+70 | 4.3029 | 0.3194 | 0.5872 |    0.00152 | 0.00036761 | 0.00035326 |    1.0478e-11 | 2.6507e-12 | 2.8239e-12 | 9.0368e-07 
  12 | 2.2936e+70 | 3.7609 |  0.304 | 0.3133 |  0.0014841 | 0.00036391 |  0.0003733 |    8.9419e-12 | 2.3086e-12 | 2.3692e-12 | 6.9714e-07 
  13 | 2.5268e+70 | 3.8311 | 0.2988 | 0.3059 |  0.0013864 | 0.00033411 |  0.0003428 |    8.5089e-12 | 2.1553e-12 | 2.2109e-12 |  8.548e-07 
